"",BBFB1.Q.N.DE.US.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:52,
1991-01,1910.209,
1991-04,1936.280,
1991-07,2235.497,
1991-10,2276.519,
1992-01,2305.108,
1992-04,2172.035,
1992-07,2489.722,
1992-10,2413.801,
1993-01,2331.099,
1993-04,2202.823,
1993-07,2446.136,
1993-10,2451.575,
1994-01,2319.763,
1994-04,2124.824,
1994-07,2563.591,
1994-10,2409.724,
1995-01,2482.130,
1995-04,2232.377,
1995-07,2655.446,
1995-10,2533.059,
1996-01,2420.622,
1996-04,2358.207,
1996-07,2804.276,
1996-10,3098.348,
1997-01,3261.445,
1997-04,3731.851,
1997-07,3837.093,
1997-10,3894.035,
1998-01,3847.244,
1998-04,3659.697,
1998-07,4382.043,
1998-10,4288.264,
1999-01,4186.521,
1999-04,4138.102,
1999-07,4576.623,
1999-10,5657.055,
2000-01,4495.343,
2000-04,4602.311,
2000-07,5159.557,
2000-10,6600.559,
2001-01,5053.716,
2001-04,5154.795,
2001-07,5863.616,
2001-10,7382.711,
2002-01,4851.962,
2002-04,4782.277,
2002-07,4699.212,
2002-10,5518.364,
2003-01,4634.564,
2003-04,4109.975,
2003-07,4285.144,
2003-10,5112.652,
2004-01,4344.864,
2004-04,4639.223,
2004-07,4312.334,
2004-10,5112.384,
2005-01,4587.132,
2005-04,4663.744,
2005-07,5334.809,
2005-10,6241.007,
2006-01,5745.997,
2006-04,5086.799,
2006-07,5522.246,
2006-10,7417.722,
2007-01,5419.471,
2007-04,5293.468,
2007-07,5838.097,
2007-10,5908.999,
2008-01,5540.370,
2008-04,5628.875,
2008-07,5985.493,
2008-10,6295.314,
2009-01,5023.798,
2009-04,5753.321,
2009-07,5344.207,
2009-10,5403.661,
2010-01,5414.286,
2010-04,6364.745,
2010-07,5999.454,
2010-10,6500.819,
2011-01,6216.649,
2011-04,6474.597,
2011-07,6852.448,
2011-10,7426.254,
2012-01,7700.006,
2012-04,7138.605,
2012-07,7489.393,
2012-10,7393.831,
2013-01,8236.884,
2013-04,8018.590,
2013-07,8275.733,
2013-10,8154.108,
2014-01,7453.427,Provisional value
2014-04,7807.823,Provisional value
2014-07,8168.941,Provisional value
