"",BBFN1.M.DE.N.1.A.RS.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RS.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:22,
2006-03,0.153,
2006-04,0.155,
2006-05,0.153,
2006-06,0.158,
2006-07,0.154,
2006-08,0.177,
2006-09,0.183,
2006-10,0.215,
2006-11,0.211,
2006-12,0.216,
2007-01,0.211,
2007-02,0.204,
2007-03,0.217,
2007-04,0.221,
2007-05,0.223,
2007-06,0.216,
2007-07,0.221,
2007-08,0.229,
2007-09,0.230,
2007-10,0.226,
2007-11,0.226,
2007-12,0.233,
2008-01,0.228,
2008-02,0.226,
2008-03,0.240,
2008-04,0.243,
2008-05,0.244,
2008-06,0.250,
2008-07,0.242,
2008-08,0.260,
2008-09,0.271,
2008-10,0.275,
2008-11,0.257,
2008-12,0.325,
2009-01,0.365,
2009-02,0.379,
2009-03,0.372,
2009-04,0.382,
2009-05,0.419,
2009-06,0.424,
2009-07,0.412,
2009-08,0.383,
2009-09,0.362,
2009-10,0.415,
2009-11,0.431,
2009-12,0.436,
2010-01,0.426,
2010-02,0.456,
2010-03,0.450,
2010-04,0.426,
2010-05,0.424,
2010-06,0.416,
2010-07,0.461,
2010-08,0.440,
2010-09,0.431,
2010-10,0.437,
2010-11,0.447,
2010-12,0.452,
2011-01,0.479,
2011-02,0.490,
2011-03,0.457,
2011-04,0.450,
2011-05,0.446,
2011-06,0.452,
2011-07,0.458,
2011-08,0.474,
2011-09,0.460,
2011-10,0.467,
2011-11,0.480,
2011-12,0.497,
2012-01,0.516,
2012-02,0.525,
2012-03,0.529,
2012-04,0.521,
2012-05,0.521,
2012-06,0.528,
2012-07,0.530,
2012-08,0.531,
2012-09,0.507,
2012-10,0.502,
2012-11,0.499,
2012-12,0.488,
2013-01,0.475,
2013-02,0.461,
2013-03,0.452,
2013-04,0.447,
2013-05,0.443,
2013-06,0.418,
2013-07,0.410,
2013-08,0.404,
2013-09,0.393,
2013-10,0.392,
2013-11,0.387,
2013-12,0.414,
2014-01,0.409,
2014-02,0.400,
2014-03,0.397,
2014-04,0.388,
2014-05,0.379,
2014-06,0.368,
2014-07,0.361,
2014-08,0.361,
2014-09,0.351,
2014-10,0.365,
2014-11,0.363,
2014-12,0.359,
