"",BBK01.OEBB08S,BBK01.OEBB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:41,
2002-01,7.128,
2002-04,7.084,
2002-07,6.988,
2002-10,6.908,
2003-01,6.856,
2003-04,6.889,
2003-07,6.899,
2003-10,6.967,
2004-01,6.922,
2004-04,6.875,
2004-07,6.939,
2004-10,6.969,
2005-01,8.132,
2005-04,8.226,
2005-07,8.228,
2005-10,8.187,
2006-01,8.292,
2006-04,8.351,
2006-07,8.464,
2006-10,8.551,
2007-01,8.566,
2007-04,8.716,
2007-07,8.790,
2007-10,8.966,
2008-01,8.894,
2008-04,8.898,
2008-07,8.948,
2008-10,9.010,
2009-01,9.059,
2009-04,9.781,
2009-07,9.877,
2009-10,10.017,
2010-01,10.035,
2010-04,10.050,
2010-07,10.205,
2010-10,10.261,
2011-01,10.439,
2011-04,10.534,
2011-07,10.660,
2011-10,10.853,
2012-01,10.927,
2012-04,11.011,
2012-07,11.108,
2012-10,11.149,
2013-01,11.252,
2013-04,11.271,
2013-07,11.332,
2013-10,11.397,
2014-01,11.351,
2014-04,11.325,
2014-07,11.416,
