"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F52._Z._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F52._Z._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Investment fund shares/units / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:47,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-,Nothing exists
1993-04,-,Nothing exists
1993-07,-,Nothing exists
1993-10,-,Nothing exists
1994-01,-,Nothing exists
1994-04,-,Nothing exists
1994-07,49.686,
1994-10,554.468,
1995-01,-25.218,
1995-04,175.244,
1995-07,101.464,
1995-10,438.515,
1996-01,211.750,
1996-04,68.609,
1996-07,-113.094,
1996-10,-10.717,
1997-01,-129.732,
1997-04,-47.990,
1997-07,-17.663,
1997-10,-38.282,
1998-01,170.373,
1998-04,13.737,
1998-07,0.372,
1998-10,55.457,
1999-01,74.831,
1999-04,45.368,
1999-07,5.209,
1999-10,-318.303,
2000-01,-184.526,
2000-04,-268.849,
2000-07,-300.472,
2000-10,-49.837,
2001-01,93.261,
2001-04,49.697,
2001-07,146.752,
2001-10,2459.016,
2002-01,-405.841,
2002-04,-706.567,
2002-07,-69.696,
2002-10,-590.946,
2003-01,407.374,
2003-04,-393.761,
2003-07,323.836,
2003-10,-893.577,
2004-01,-5.064,
2004-04,38.013,
2004-07,4632.989,
2004-10,-2223.708,
2005-01,188.691,
2005-04,460.945,
2005-07,962.298,
2005-10,-2493.660,
2006-01,152.771,
2006-04,174.810,
2006-07,72.786,
2006-10,-107.326,
2007-01,165.163,
2007-04,657.284,
2007-07,-868.402,
2007-10,-536.467,
2008-01,148.610,
2008-04,-481.664,
2008-07,842.543,
2008-10,-300.523,
2009-01,-126.272,
2009-04,-560.779,
2009-07,-1224.130,
2009-10,-314.931,
2010-01,-41.110,
2010-04,-344.679,
2010-07,-42.422,
2010-10,249.956,
2011-01,322.951,
2011-04,-296.121,
2011-07,809.195,
2011-10,487.324,
2012-01,-792.924,
2012-04,-6.812,
2012-07,-432.452,
2012-10,393.913,
2013-01,-66.632,
2013-04,55.282,
2013-07,-47.554,
2013-10,41.944,
2014-01,-294.770,
2014-04,23.598,
2014-07,17.656,
