"",BBK01.OEXI06G,BBK01.OEXI06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:00,
2002-01,1.034,
2002-04,0.996,
2002-07,0.849,
2002-10,0.463,
2003-01,0.365,
2003-04,0.333,
2003-07,0.310,
2003-10,0.289,
2004-01,0.274,
2004-04,0.270,
2004-07,0.255,
2004-10,0.250,
2005-01,0.295,
2005-04,0.294,
2005-07,0.313,
2005-10,0.326,
2006-01,0.333,
2006-04,0.353,
2006-07,0.404,
2006-10,0.356,
2007-01,0.365,
2007-04,0.389,
2007-07,0.391,
2007-10,0.459,
2008-01,0.551,
2008-04,0.693,
2008-07,0.742,
2008-10,0.846,
2009-01,0.978,
2009-04,0.820,
2009-07,0.727,
2009-10,0.643,
2010-01,0.658,
2010-04,0.834,
2010-07,0.944,
2010-10,1.024,
2011-01,1.111,
2011-04,1.223,
2011-07,1.301,
2011-10,1.300,
2012-01,1.245,
2012-04,1.266,
2012-07,1.225,
2012-10,1.135,
2013-01,0.978,
2013-04,0.779,
2013-07,0.729,
2013-10,0.700,
2014-01,0.667,
2014-04,0.579,
2014-07,0.490,
