"",BBK01.CEBA30,BBK01.CEBA30_FLAGS
"",Money market paper debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:17,
1991-01,4.1,
1991-04,4.2,
1991-07,4.1,
1991-10,5.8,
1992-01,4.9,
1992-04,6.0,
1992-07,11.5,
1992-10,5.8,
1993-01,21.0,
1993-04,20.7,
1993-07,22.1,
1993-10,23.0,
1994-01,24.1,
1994-04,23.4,
1994-07,20.0,
1994-10,14.6,
1995-01,13.6,
1995-04,13.7,
1995-07,15.0,
1995-10,15.0,
1996-01,17.0,
1996-04,16.5,
1996-07,15.9,
1996-10,14.0,
1997-01,13.3,
1997-04,14.0,
1997-07,16.4,
1997-10,17.5,
1998-01,21.1,
1998-04,22.9,
1998-07,26.0,
1998-10,29.8,
1999-01,25.4,
1999-04,33.8,
1999-07,45.7,
1999-10,74.9,
2000-01,75.6,
2000-04,87.7,
2000-07,90.1,
2000-10,90.2,
2001-01,80.2,
2001-04,66.1,
2001-07,58.4,
2001-10,50.8,
2002-01,58.9,
2002-04,60.0,
2002-07,70.3,
2002-10,70.7,
2003-01,86.6,
2003-04,81.7,
2003-07,70.3,
2003-10,71.3,
2004-01,69.8,
2004-04,72.3,
2004-07,69.9,
2004-10,63.1,
2005-01,69.4,
2005-04,72.2,
2005-07,73.7,
2005-10,62.8,
2006-01,71.3,
2006-04,69.3,
2006-07,70.2,
2006-10,68.8,
2007-01,80.8,
2007-04,85.6,
2007-07,94.3,
2007-10,109.8,
2008-01,123.0,
2008-04,125.3,
2008-07,125.6,
2008-10,162.9,
2009-01,117.2,
2009-04,102.6,
2009-07,100.3,
2009-10,116.0,
2010-01,118.5,
2010-04,116.7,
2010-07,114.3,
2010-10,97.1,
2011-01,91.4,
2011-04,75.5,
2011-07,89.7,
2011-10,95.5,
2012-01,90.8,
2012-04,89.2,
2012-07,81.7,
2012-10,76.5,
2013-01,86.9,
2013-04,86.3,
2013-07,89.3,
2013-10,69.4,
2014-01,78.9,
