"",BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:42,
1991-01,-1.496,
1991-04,2.361,
1991-07,-4.778,
1991-10,0.714,
1992-01,0.443,
1992-04,-2.306,
1992-07,-2.895,
1992-10,2.583,
1993-01,3.290,
1993-04,1.692,
1993-07,12.062,
1993-10,39.048,
1994-01,-11.811,
1994-04,-39.702,
1994-07,19.496,
1994-10,-20.837,
1995-01,1.595,
1995-04,-1.547,
1995-07,19.086,
1995-10,7.515,
1996-01,3.979,
1996-04,-31.211,
1996-07,-1.550,
1996-10,-8.744,
1997-01,-40.050,
1997-04,51.331,
1997-07,-62.407,
1997-10,-118.510,
1998-01,-75.690,
1998-04,-27.597,
1998-07,66.250,
1998-10,15.609,
1999-01,-10.692,
1999-04,-1362.309,
1999-07,-81.987,
1999-10,-121.895,
2000-01,-7.111,
2000-04,275.136,
2000-07,97.495,
2000-10,114.614,
2001-01,152.622,
2001-04,92.636,
2001-07,-122.937,
2001-10,49.984,
2002-01,-3.819,
2002-04,-46.088,
2002-07,-51.480,
2002-10,-9.264,
2003-01,37.114,
2003-04,19.675,
2003-07,-22.814,
2003-10,26.681,
2004-01,4.141,
2004-04,-65.384,
2004-07,3.054,
2004-10,-99.838,
2005-01,-4.941,
2005-04,10.305,
2005-07,-99.245,
2005-10,-162.932,
2006-01,23.331,
2006-04,-123.722,
2006-07,-83.103,
2006-10,10.100,
2007-01,20.599,
2007-04,18.820,
2007-07,59.169,
2007-10,56.375,
2008-01,89.748,
2008-04,43.606,
2008-07,114.335,
2008-10,230.338,
2009-01,257.517,
2009-04,264.574,
2009-07,189.084,
2009-10,93.810,
2010-01,-96.858,
2010-04,7.009,
2010-07,86.207,
2010-10,12.356,
2011-01,1.055,
2011-04,-63.602,
2011-07,-47.341,
2011-10,60.593,
2012-01,-27.465,
2012-04,-68.878,
2012-07,-46.789,
2012-10,-257.867,
2013-01,-39.213,
2013-04,74.205,
2013-07,-34.125,
2013-10,149.768,
2014-01,-31.467,Provisional value
2014-04,-75.116,Provisional value
2014-07,138.969,Provisional value
2014-10,-48.945,Provisional value
