"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC4._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC4._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Post- und Kurierdienste / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:29,
1991-01,2.560,
1991-02,-6.671,
1991-03,-5.299,
1991-04,-4.780,
1991-05,-1.491,
1991-06,-4.275,
1991-07,-4.658,
1991-08,2.845,
1991-09,-4.109,
1991-10,-7.117,
1991-11,-5.008,
1991-12,-2.420,
1992-01,-3.929,
1992-02,-4.861,
1992-03,0.342,
1992-04,-13.565,
1992-05,-8.551,
1992-06,-1.156,
1992-07,-13.931,
1992-08,-2.228,
1992-09,-7.533,
1992-10,2.304,
1992-11,-23.649,
1992-12,-0.363,
1993-01,-3.949,
1993-02,-6.510,
1993-03,-2.135,
1993-04,-6.050,
1993-05,-6.521,
1993-06,-5.889,
1993-07,-6.730,
1993-08,-7.016,
1993-09,-0.530,
1993-10,-7.397,
1993-11,-7.732,
1993-12,-5.160,
1994-01,-10.385,
1994-02,10.852,
1994-03,-1.476,
1994-04,2.515,
1994-05,-0.501,
1994-06,5.436,
1994-07,13.211,
1994-08,4.923,
1994-09,6.074,
1994-10,15.252,
1994-11,-5.220,
1994-12,-0.445,
1995-01,-9.286,
1995-02,29.994,
1995-03,-1.970,
1995-04,-0.119,
1995-05,-0.623,
1995-06,1.885,
1995-07,-8.718,
1995-08,-2.510,
1995-09,0.716,
1995-10,-15.798,
1995-11,-5.718,
1995-12,-9.981,
1996-01,-1.339,
1996-02,23.004,
1996-03,8.362,
1996-04,10.259,
1996-05,-8.162,
1996-06,19.275,
1996-07,0.161,
1996-08,8.371,
1996-09,-3.279,
1996-10,-29.293,
1996-11,-8.859,
1996-12,-11.440,
1997-01,0.807,
1997-02,-4.777,
1997-03,-24.976,
1997-04,-14.417,
1997-05,-19.937,
1997-06,28.093,
1997-07,-15.771,
1997-08,2.733,
1997-09,-15.246,
1997-10,-13.509,
1997-11,-15.264,
1997-12,-17.826,
1998-01,-15.029,
1998-02,-15.178,
1998-03,-15.062,
1998-04,-17.630,
1998-05,-12.007,
1998-06,-1.146,
1998-07,19.016,
1998-08,-7.797,
1998-09,-8.921,
1998-10,-7.842,
1998-11,-13.640,
1998-12,-15.902,
1999-01,-17.948,
1999-02,-4.443,
1999-03,0.650,
1999-04,-3.512,
1999-05,-6.923,
1999-06,-12.162,
1999-07,31.537,
1999-08,6.037,
1999-09,-8.542,
1999-10,-20.412,
1999-11,-15.888,
1999-12,-20.244,
2000-01,-22.526,
2000-02,-22.224,
2000-03,-12.244,
2000-04,-38.885,
2000-05,-20.906,
2000-06,10.195,
2000-07,-3.240,
2000-08,-10.075,
2000-09,-25.251,
2000-10,-26.574,
2000-11,-22.792,
2000-12,-6.180,
2001-01,-23.890,
2001-02,-18.857,
2001-03,-22.159,
