"",BBK01.OEXB08K,BBK01.OEXB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:29,
2002-01,5.938,
2002-04,5.991,
2002-07,6.046,
2002-10,6.218,
2003-01,6.281,
2003-04,6.354,
2003-07,6.934,
2003-10,6.631,
2004-01,7.364,
2004-04,7.000,
2004-07,7.147,
2004-10,4.494,
2005-01,4.090,
2005-04,4.104,
2005-07,4.355,
2005-10,4.509,
2006-01,4.617,
2006-04,4.662,
2006-07,4.706,
2006-10,4.847,
2007-01,4.823,
2007-04,4.809,
2007-07,4.817,
2007-10,4.733,
2008-01,4.685,
2008-04,5.129,
2008-07,5.169,
2008-10,5.506,
2009-01,5.560,
2009-04,5.776,
2009-07,5.956,
2009-10,6.005,
2010-01,6.010,
2010-04,6.182,
2010-07,6.071,
2010-10,6.535,
2011-01,6.455,
2011-04,6.516,
2011-07,6.603,
2011-10,6.721,
2012-01,6.696,
2012-04,6.794,
2012-07,6.759,
2012-10,7.000,
2013-01,7.138,
2013-04,7.216,
2013-07,7.323,
2013-10,7.378,
2014-01,7.355,
2014-04,7.722,
2014-07,8.122,
