"",BBK01.BQM407,BBK01.BQM407_FLAGS
"",Social security funds? debt - of which loans,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:40,
2000-01,2104,
2000-04,2440,
2000-07,2062,
2000-10,1876,
2001-01,1975,
2001-04,2440,
2001-07,2174,
2001-10,2272,
2002-01,2608,
2002-04,3148,
2002-07,3324,
2002-10,2982,
2003-01,3645,
2003-04,4089,
2003-07,4599,
2003-10,5275,
2004-01,5145,
2004-04,4326,
2004-07,4290,
2004-10,4239,
2005-01,3882,
2005-04,3530,
2005-07,3438,
2005-10,2691,
2006-01,2327,
2006-04,1656,
2006-07,1711,
2006-10,1747,
2007-01,1392,
2007-04,1504,
2007-07,1616,
2007-10,1558,
2008-01,1583,
2008-04,1636,
2008-07,1959,
2008-10,1454,
2009-01,1632,
2009-04,1421,
2009-07,1508,
2009-10,1315,
2010-01,1327,Provisional value
2010-04,1320,Provisional value
2010-07,1557,Provisional value
2010-10,1346,Provisional value
2011-01,1681,Provisional value
2011-04,2658,Provisional value
2011-07,1270,Provisional value
2011-10,1331,Provisional value
2012-01,1325,Provisional value
2012-04,1298,Provisional value
2012-07,1339,Provisional value
2012-10,1171,Provisional value
2013-01,1211,Provisional value
2013-04,1100,Provisional value
2013-07,1106,Provisional value
2013-10,1287,Provisional value
2014-01,1225,Provisional value
2014-04,1144,Provisional value
2014-07,1141,Provisional value
