"",BBK01.OEXI01J,BBK01.OEXI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:29,
2002-01,2.219,
2002-04,2.139,
2002-07,2.108,
2002-10,2.251,
2003-01,2.160,
2003-04,2.148,
2003-07,2.147,
2003-10,2.173,
2004-01,2.190,
2004-04,2.225,
2004-07,2.125,
2004-10,2.073,
2005-01,2.125,
2005-04,2.161,
2005-07,2.157,
2005-10,2.245,
2006-01,2.366,
2006-04,2.353,
2006-07,2.277,
2006-10,2.362,
2007-01,2.456,
2007-04,2.521,
2007-07,2.513,
2007-10,2.694,
2008-01,2.777,
2008-04,2.872,
2008-07,2.952,
2008-10,3.101,
2009-01,3.065,
2009-04,2.972,
2009-07,2.901,
2009-10,2.960,
2010-01,2.866,
2010-04,2.892,
2010-07,2.921,
2010-10,3.010,
2011-01,3.015,
2011-04,3.043,
2011-07,3.187,
2011-10,3.246,
2012-01,3.216,
2012-04,3.155,
2012-07,3.189,
2012-10,3.170,
2013-01,2.971,
2013-04,2.880,
2013-07,2.964,
2013-10,3.107,
2014-01,3.499,
2014-04,3.691,
2014-07,3.748,
