"",BBEX3.M.BDT.USD.CA.AA.A01,BBEX3.M.BDT.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Bangladesh / USD 1 = BDT ... (buying),
unit,BDT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:59,
1990-01,32.2300,
1990-02,32.2300,
1990-03,33.8400,
1990-04,34.1800,
1990-05,34.8500,
1990-06,34.8500,
1990-07,34.8500,
1990-08,35.5400,
1990-09,35.6400,
1990-10,35.6400,
1990-11,35.7400,
1990-12,35.7400,
1991-01,35.7400,
1991-02,35.7400,
1991-03,35.7400,
1991-04,35.7400,
1991-05,35.7400,
1991-06,35.7400,
1991-07,36.4400,
1991-08,36.8400,
1991-09,37.6400,
1991-10,37.6400,
1991-11,38.0400,
1991-12,38.5300,
1992-01,38.7500,
1992-02,38.7500,
1992-03,38.9500,
1992-04,38.9500,
1992-05,38.9500,
1992-06,38.9500,
1992-07,38.9500,
1992-08,38.9500,
1992-09,38.9500,
1992-10,38.9500,
1992-11,38.9500,
1992-12,38.9500,
1993-01,38.9500,
1993-02,38.9500,
1993-03,38.9500,
1993-04,39.7500,
1993-05,39.7500,
1993-06,39.7500,
1993-07,39.7000,
1993-08,39.7500,
1993-09,39.7500,
1993-10,39.7500,
1993-11,39.7500,
1993-12,39.7500,
1994-01,39.9700,
1994-02,40.0300,
1994-03,40.1500,
1994-04,40.1500,
1994-05,40.1500,
1994-06,40.1500,
1994-07,40.1500,
1994-08,40.1500,
1994-09,40.1500,
1994-10,40.1500,
1994-11,40.1500,
1994-12,40.1500,
1995-01,40.1500,
1995-02,40.1500,
1995-03,40.0000,
1995-04,40.0000,
1995-05,40.0000,
1995-06,40.0000,
1995-07,40.0000,
1995-08,40.0000,
1995-09,40.1500,
1995-10,40.6500,
1995-11,40.6500,
1995-12,40.6500,
1996-01,40.9000,
1996-02,40.9000,
1996-03,40.9000,
1996-04,41.6500,
1996-05,41.6500,
1996-06,41.6500,
1996-07,41.8000,
1996-08,42.0500,
1996-09,42.3500,
1996-10,42.3500,
1996-11,42.3500,
1996-12,42.3500,
1997-01,42.3500,
1997-02,42.6500,
1997-03,43.1000,
1997-04,43.5500,
1997-05,43.5500,
1997-06,43.5500,
1997-07,44.0000,
1997-08,44.4500,
1997-09,44.4500,
1997-10,44.8500,
1997-11,45.3000,
1997-12,45.3000,
1998-01,45.3000,
1998-02,46.1500,
1998-03,46.1500,
1998-04,46.1500,
1998-05,46.1500,
1998-06,46.1500,
1998-07,46.9500,
1998-08,46.9500,
1998-09,46.9500,
1998-10,48.3500,
1998-11,48.3500,
1998-12,48.3500,
1999-01,48.3500,
1999-02,48.3500,
1999-03,48.3500,
1999-04,48.3500,
1999-05,48.3500,
1999-06,48.3500,
1999-07,49.3500,
1999-08,49.3500,
1999-09,49.3500,
1999-10,49.3500,
1999-11,50.8500,
1999-12,50.8500,
2000-01,50.8500,
2000-02,50.8500,
2000-03,50.8500,
2000-04,50.8500,
2000-05,50.8500,
2000-06,50.8500,
2000-07,50.8500,
2000-08,53.8500,
2000-09,53.8500,
2000-10,53.8500,
2000-11,53.8500,
2000-12,53.8500,
2001-01,53.8500,
2001-02,53.8500,
2001-03,53.8500,
2001-04,53.8500,
2001-05,56.5000,
2001-06,56.5000,
2001-07,56.5000,
