"",BBK01.OEAN06Q,BBK01.OEAN06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:11,
2002-01,2.096,
2002-04,2.089,
2002-07,2.134,
2002-10,2.076,
2003-01,1.952,
2003-04,1.831,
2003-07,1.744,
2003-10,1.697,
2004-01,1.681,
2004-04,1.608,
2004-07,1.604,
2004-10,1.675,
2005-01,1.804,
2005-04,1.811,
2005-07,1.740,
2005-10,1.686,
2006-01,1.668,
2006-04,1.634,
2006-07,1.671,
2006-10,1.750,
2007-01,1.957,
2007-04,2.133,
2007-07,2.279,
2007-10,2.511,
2008-01,2.563,
2008-04,2.651,
2008-07,2.767,
2008-10,3.226,
2009-01,3.097,
2009-04,2.946,
2009-07,2.873,
2009-10,2.606,
2010-01,2.369,
2010-04,2.313,
2010-07,2.245,
2010-10,2.267,
2011-01,2.343,
2011-04,2.409,
2011-07,2.371,
2011-10,2.416,
2012-01,2.428,
2012-04,2.397,
2012-07,2.292,
2012-10,1.989,
2013-01,1.723,
2013-04,1.493,
2013-07,1.341,
2013-10,1.307,
2014-01,1.271,
2014-04,1.293,
2014-07,1.367,
