"",BBFN1.M.DE.N.1.L.BG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Bulgaria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:55,
1994-12,0.088,
1995-01,0.092,
1995-02,0.093,
1995-03,0.090,
1995-04,0.085,
1995-05,0.087,
1995-06,0.082,
1995-07,0.093,
1995-08,0.087,
1995-09,0.077,
1995-10,0.065,
1995-11,0.065,
1995-12,0.058,
1996-01,0.062,
1996-02,0.054,
1996-03,0.055,
1996-04,0.061,
1996-05,0.058,
1996-06,0.046,
1996-07,0.048,
1996-08,0.048,
1996-09,0.053,
1996-10,0.051,
1996-11,0.051,
1996-12,0.046,
1997-01,0.046,
1997-02,0.049,
1997-03,0.047,
1997-04,0.046,
1997-05,0.052,
1997-06,0.051,
1997-07,0.052,
1997-08,0.059,
1997-09,0.058,
1997-10,0.070,
1997-11,0.057,
1997-12,0.062,
1998-01,0.074,
1998-02,0.080,
1998-03,0.071,
1998-04,0.072,
1998-05,0.072,
1998-06,0.076,
1998-07,0.070,
1998-08,0.070,
1998-09,0.060,
1998-10,0.060,
1998-11,0.056,
1998-12,0.066,
1999-01,0.057,
1999-02,0.054,
1999-03,0.060,
1999-04,0.066,
1999-05,0.071,
1999-06,0.079,
1999-07,0.080,
1999-08,0.084,
1999-09,0.078,
1999-10,0.079,
1999-11,0.085,
1999-12,0.088,
2000-01,0.123,
2000-02,0.122,
2000-03,0.129,
2000-04,0.139,
2000-05,0.121,
2000-06,0.125,
2000-07,0.113,
2000-08,0.125,
2000-09,0.134,
2000-10,0.149,
2000-11,0.152,
2000-12,0.166,
2001-01,0.160,
2001-02,0.172,
2001-03,0.168,
2001-04,0.179,
2001-05,0.182,
2001-06,0.191,
2001-07,0.200,
2001-08,0.217,
2001-09,0.227,
2001-10,0.235,
2001-11,0.256,
2001-12,0.237,
2002-01,0.232,
2002-02,0.232,
2002-03,0.210,
2002-04,0.215,
2002-05,0.223,
2002-06,0.166,
2002-07,0.175,
2002-08,0.182,
2002-09,0.186,
2002-10,0.195,
2002-11,0.176,
2002-12,0.181,
2003-01,0.162,
2003-02,0.164,
2003-03,0.165,
2003-04,0.179,
2003-05,0.213,
2003-06,0.227,
2003-07,0.240,
2003-08,0.255,
2003-09,0.270,
2003-10,0.300,
2003-11,0.324,
2003-12,0.322,
2004-01,0.324,
2004-02,0.341,
2004-03,0.368,
2004-04,0.391,
2004-05,0.393,
2004-06,0.410,
2004-07,0.415,
2004-08,0.421,
2004-09,0.433,
2004-10,0.389,
2004-11,0.381,
2004-12,0.422,
2005-01,0.436,
2005-02,0.504,
2005-03,0.500,
2005-04,0.496,
2005-05,0.489,
2005-06,0.461,
2005-07,0.477,
2005-08,0.450,
2005-09,0.473,
2005-10,0.476,
2005-11,0.475,
2005-12,0.410,
2006-01,0.418,
2006-02,0.445,
2006-03,0.453,
2006-04,0.430,
2006-05,0.474,
2006-06,0.453,
2006-07,0.467,
2006-08,0.288,
2006-09,0.336,
2006-10,0.295,
2006-11,0.308,
2006-12,0.315,
2007-01,0.332,
2007-02,0.385,
2007-03,0.420,
2007-04,0.435,
2007-05,0.457,
2007-06,0.456,
2007-07,0.523,
2007-08,0.602,
2007-09,0.624,
2007-10,0.775,
2007-11,0.776,
2007-12,0.808,
2008-01,0.801,
2008-02,0.811,
2008-03,0.837,
2008-04,0.890,
2008-05,0.909,
2008-06,0.847,
2008-07,0.852,
2008-08,0.867,
2008-09,0.887,
2008-10,0.891,
2008-11,0.905,
2008-12,0.877,
2009-01,0.870,
2009-02,0.881,
2009-03,0.901,
2009-04,1.040,
2009-05,1.035,
2009-06,1.023,
2009-07,1.056,
2009-08,1.055,
2009-09,1.127,
2009-10,1.022,
2009-11,1.039,
2009-12,1.003,
2010-01,1.042,
2010-02,1.046,
2010-03,1.120,
2010-04,1.117,
2010-05,1.161,
2010-06,1.152,
2010-07,1.083,
2010-08,1.075,
2010-09,1.065,
2010-10,1.058,
2010-11,1.033,
2010-12,1.121,
2011-01,1.088,
2011-02,1.067,
2011-03,1.149,
2011-04,1.126,
2011-05,1.131,
2011-06,1.155,
2011-07,1.252,
2011-08,1.160,
2011-09,1.158,
2011-10,1.139,
2011-11,1.105,
2011-12,1.131,
2012-01,1.111,
2012-02,1.068,
2012-03,1.189,
2012-04,1.076,
2012-05,1.139,
2012-06,1.153,
2012-07,1.091,
2012-08,1.072,
2012-09,1.211,
2012-10,1.441,
2012-11,1.117,
2012-12,1.112,
2013-01,1.209,
2013-02,1.172,
2013-03,1.159,
2013-04,1.295,
2013-05,1.283,
2013-06,1.215,
2013-07,1.162,
2013-08,1.107,
2013-09,1.147,
2013-10,1.059,
2013-11,1.138,
2013-12,1.088,
2014-01,1.029,
2014-02,1.049,
2014-03,1.082,
2014-04,1.011,
2014-05,1.089,
2014-06,1.092,
2014-07,1.168,
2014-08,1.179,
2014-09,1.217,
2014-10,1.164,
2014-11,1.177,
2014-12,1.181,
