"",BBK01.OELB15I,BBK01.OELB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:33,
2002-01,0.209,
2002-04,0.196,
2002-07,0.187,
2002-10,0.174,
2003-01,0.165,
2003-04,0.166,
2003-07,0.168,
2003-10,0.151,
2004-01,0.155,
2004-04,0.158,
2004-07,0.147,
2004-10,0.143,
2005-01,0.138,
2005-04,0.126,
2005-07,0.123,
2005-10,0.118,
2006-01,0.113,
2006-04,0.107,
2006-07,0.108,
2006-10,0.102,
2007-01,0.098,
2007-04,0.102,
2007-07,0.097,
2007-10,0.103,
2008-01,0.107,
2008-04,0.106,
2008-07,0.099,
2008-10,0.098,
2009-01,0.101,
2009-04,0.098,
2009-07,0.098,
2009-10,0.096,
2010-01,0.097,
2010-04,0.097,
2010-07,0.095,
2010-10,0.089,
2011-01,0.088,
2011-04,0.080,
2011-07,0.081,
2011-10,0.079,
2012-01,0.080,
2012-04,0.146,
2012-07,0.155,
2012-10,0.159,
2013-01,0.158,
2013-04,0.159,
2013-07,0.162,
2013-10,0.159,
2014-01,0.161,
2014-04,0.160,
2014-07,0.161,
