"",BBK01.OEBB18R,BBK01.OEBB18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:31,
2002-01,0.160,
2002-04,0.161,
2002-07,0.166,
2002-10,0.167,
2003-01,0.164,
2003-04,0.157,
2003-07,0.155,
2003-10,0.154,
2004-01,0.148,
2004-04,0.148,
2004-07,0.143,
2004-10,0.136,
2005-01,0.133,
2005-04,0.130,
2005-07,0.127,
2005-10,0.123,
2006-01,0.105,
2006-04,0.107,
2006-07,0.119,
2006-10,0.107,
2007-01,0.119,
2007-04,0.119,
2007-07,0.088,
2007-10,0.088,
2008-01,0.091,
2008-04,0.089,
2008-07,0.092,
2008-10,0.094,
2009-01,0.079,
2009-04,0.081,
2009-07,0.082,
2009-10,0.081,
2010-01,0.075,
2010-04,0.071,
2010-07,0.075,
2010-10,0.070,
2011-01,0.075,
2011-04,0.069,
2011-07,0.071,
2011-10,0.067,
2012-01,0.067,
2012-04,0.065,
2012-07,0.065,
2012-10,0.065,
2013-01,0.064,
2013-04,0.064,
2013-07,0.066,
2013-10,0.065,
2014-01,0.064,
2014-04,0.071,
2014-07,0.070,
