"",BBSF2.M.1.S.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Other funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:18,
2009-09,979,
2009-10,1241,
2009-11,2692,
2009-12,3094,
2010-01,3600,
2010-02,3597,
2010-03,3853,
2010-04,3814,
2010-05,3938,
2010-06,3957,
2010-07,4352,
2010-08,4491,
2010-09,4316,
2010-10,4567,
2010-11,4488,
2010-12,4583,
2011-01,4547,
2011-02,4622,
2011-03,4518,
2011-04,4699,
2011-05,4604,
2011-06,4753,
2011-07,4940,
2011-08,5700,
2011-09,5718,
2011-10,8085,
2011-11,11140,
2011-12,11392,
2012-01,11681,
2012-02,11879,
2012-03,11672,
2012-04,11328,
2012-05,10956,
2012-06,10778,
2012-07,11007,
2012-08,11263,
2012-09,11382,
2012-10,11374,
2012-11,11683,
2012-12,11841,
2013-01,12124,
2013-02,12346,
2013-03,12524,
2013-04,13218,
2013-05,14138,
2013-06,13874,
2013-07,14246,
2013-08,14090,
2013-09,14527,
2013-10,14649,
2013-11,14816,
2013-12,15180,
2014-01,14998,
2014-02,15757,
2014-03,15829,
2014-04,15940,
2014-05,16348,
2014-06,16554,
2014-07,16732,
2014-08,21336,
2014-09,21203,
2014-10,21255,
2014-11,22086,
