"",BBK01.OEBJ03J,BBK01.OEBJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:17,
2002-01,0.598,
2002-04,0.591,
2002-07,0.534,
2002-10,0.498,
2003-01,0.531,
2003-04,0.574,
2003-07,0.523,
2003-10,0.459,
2004-01,0.477,
2004-04,0.343,
2004-07,0.389,
2004-10,0.459,
2005-01,0.442,
2005-04,0.431,
2005-07,0.441,
2005-10,0.679,
2006-01,0.617,
2006-04,0.519,
2006-07,0.505,
2006-10,0.475,
2007-01,0.472,
2007-04,0.404,
2007-07,0.664,
2007-10,0.866,
2008-01,0.806,
2008-04,0.925,
2008-07,1.026,
2008-10,1.046,
2009-01,1.035,
2009-04,0.906,
2009-07,0.962,
2009-10,1.037,
2010-01,0.959,
2010-04,0.816,
2010-07,0.871,
2010-10,0.936,
2011-01,0.947,
2011-04,0.837,
2011-07,0.949,
2011-10,0.908,
2012-01,0.925,
2012-04,5.230,
2012-07,5.035,
2012-10,4.842,
2013-01,4.618,
2013-04,3.137,
2013-07,2.345,
2013-10,2.222,
2014-01,1.003,
2014-04,1.055,
2014-07,1.012,
