"",BBEX3.M.KPW.EUR.CA.AB.A01,BBEX3.M.KPW.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in the Democratic People's Republic of Korea  / EUR 1 = KPW * ... (selling),
unit,KPW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:32,
2010-01,140.80,comment
2010-02,136.70,
2010-03,135.50,
2010-04,136.60,
2010-05,130.60,
2010-06,129.60,
2010-07,132.70,
2010-08,131.20,
2010-09,136.00,
2010-10,137.20,
2010-11,133.30,
2010-12,133.50,
2011-01,136.00,
2011-02,136.00,
2011-03,137.50,
2011-04,141.52,
2011-05,138.81,
2011-06,139.02,
2011-07,138.51,
2011-08,139.31,
2011-09,134.99,
2011-10,136.30,
2011-11,133.68,
2011-12,132.08,
2012-01,132.18,
2012-02,134.19,
2012-03,132.98,
2012-04,132.38,
2012-05,128.46,
2012-06,129.16,
2012-07,127.65,
2012-08,129.26,
2012-09,130.66,
2012-10,130.92,
2012-11,131.32,
2012-12,132.23,
2013-01,134.61,
2013-02,131.85,
2013-03,130.88,comment
2013-04,.,No value available
2013-05,.,No value available
2013-06,.,No value available
2013-07,.,No value available
2013-08,132.58,
2013-09,133.90,
2013-10,134.44,comment
2013-11,134.20,
2013-12,134.38,comment
2014-01,133.80,comment
2014-02,134.99,
2014-03,135.18,comment
2014-04,135.18,comment
2014-05,134.21,comment
2014-06,134.64,comment
2014-07,133.29,
2014-08,132.04,comment
2014-09,129.59,comment
2014-10,129.30,
2014-11,128.27,comment
2014-12,126.76,
2015-01,121.76,
"","General: * According to unconfirmed press reports, a currency conversion took place at the end of November / beginning of December 2009 at a rate of 100 won (old) = 1 won (new); until the end of December 2009, the exchange rates were communicated to us by the Democratic People's Republic of Korea in (old) won.",
"",Source: Foreign Trade Bank of the Democratic People's Republic of Korea,
"","Comment on 2010-01: According to information provided by the Foreign Trade Bank of the Democratic People's Republic of Korea, the rates communicated in (new) won as at the end of January 2010 were valid from 1 January 2010. On the basis of the rates from the end of December (EUR 1 = KPW (old) 188.20/189.20) and the beginning of January, and taking into account the currency conversion ratio (100:1), the (new) won depreciated against the euro by 98.7%.",
"","Comment on 2013-03: Thereafter, only middle rates were available; see BBEX2:M:KPW:EUR:CA:AC:A01.",
"",Comment on 2013-10: Exchange rate as of 1 November 2013.,
"",Comment on 2013-12: Exchange rate as of 6 January 2014.,
"",Comment on 2014-01: Exchange rate as of 3 February 2014.,
"",Comment on 2014-03: Exchange rate as of 1 April 2014.,
"",Comment on 2014-04: Exchange rate as of 2 May 2014.,
"",Comment on 2014-05: Exchange rate as of 2 June 2014.,
"",Comment on 2014-06: Exchange rate as of 1 July 2014.,
"",Comment on 2014-08: Exchange rate as of 1 September 2014.,
"",Comment on 2014-09: Exchange rate as of 1 October 2014.,
"",Comment on 2014-11: Exchange rate as of 1 December 2014.,
