"",BBFN1.M.DE.N.1.L.ZA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ZA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:56,
1994-07,0.066,
1994-08,0.058,
1994-09,0.076,
1994-10,0.080,
1994-11,0.088,
1994-12,0.100,
1995-01,0.080,
1995-02,0.088,
1995-03,0.100,
1995-04,0.081,
1995-05,0.110,
1995-06,0.083,
1995-07,0.101,
1995-08,0.103,
1995-09,0.107,
1995-10,0.111,
1995-11,0.098,
1995-12,0.134,
1996-01,0.112,
1996-02,0.124,
1996-03,0.121,
1996-04,0.110,
1996-05,0.117,
1996-06,0.113,
1996-07,0.125,
1996-08,0.111,
1996-09,0.115,
1996-10,0.122,
1996-11,0.124,
1996-12,0.140,
1997-01,0.128,
1997-02,0.167,
1997-03,0.119,
1997-04,0.111,
1997-05,0.116,
1997-06,0.127,
1997-07,0.121,
1997-08,0.125,
1997-09,0.128,
1997-10,0.160,
1997-11,0.125,
1997-12,0.140,
1998-01,0.140,
1998-02,0.162,
1998-03,0.157,
1998-04,0.130,
1998-05,0.140,
1998-06,0.138,
1998-07,0.149,
1998-08,0.126,
1998-09,0.139,
1998-10,0.145,
1998-11,0.147,
1998-12,0.155,
1999-01,0.135,
1999-02,0.158,
1999-03,0.133,
1999-04,0.135,
1999-05,0.146,
1999-06,0.147,
1999-07,0.119,
1999-08,0.141,
1999-09,0.132,
1999-10,0.172,
1999-11,0.144,
1999-12,0.156,
2000-01,0.132,
2000-02,0.145,
2000-03,0.216,
2000-04,0.160,
2000-05,0.172,
2000-06,0.198,
2000-07,0.213,
2000-08,0.249,
2000-09,0.250,
2000-10,0.209,
2000-11,0.234,
2000-12,0.204,
2001-01,0.196,
2001-02,0.198,
2001-03,0.222,
2001-04,0.186,
2001-05,0.174,
2001-06,0.226,
2001-07,0.206,
2001-08,0.182,
2001-09,0.201,
2001-10,0.210,
2001-11,0.195,
2001-12,0.200,
2002-01,0.174,
2002-02,0.183,
2002-03,0.170,
2002-04,0.184,
2002-05,0.211,
2002-06,0.223,
2002-07,0.222,
2002-08,0.238,
2002-09,0.224,
2002-10,0.266,
2002-11,0.261,
2002-12,0.235,
2003-01,0.278,
2003-02,0.269,
2003-03,0.236,
2003-04,0.223,
2003-05,0.263,
2003-06,0.262,
2003-07,0.313,
2003-08,0.333,
2003-09,0.278,
2003-10,0.283,
2003-11,0.299,
2003-12,0.238,
2004-01,0.217,
2004-02,0.245,
2004-03,0.215,
2004-04,0.250,
2004-05,0.274,
2004-06,0.235,
2004-07,0.266,
2004-08,0.280,
2004-09,0.269,
2004-10,0.274,
2004-11,0.290,
2004-12,0.232,
2005-01,0.283,
2005-02,0.297,
2005-03,0.281,
2005-04,0.294,
2005-05,0.290,
2005-06,0.255,
2005-07,0.280,
2005-08,0.302,
2005-09,0.248,
2005-10,0.293,
2005-11,0.305,
2005-12,0.226,
2006-01,0.241,
2006-02,0.310,
2006-03,0.290,
2006-04,0.280,
2006-05,0.297,
2006-06,0.294,
2006-07,0.280,
2006-08,0.327,
2006-09,0.274,
2006-10,0.329,
2006-11,0.332,
2006-12,0.398,
2007-01,0.308,
2007-02,0.284,
2007-03,0.303,
2007-04,0.332,
2007-05,0.317,
2007-06,0.310,
2007-07,0.308,
2007-08,0.324,
2007-09,0.259,
2007-10,0.326,
2007-11,0.353,
2007-12,0.283,
2008-01,0.383,
2008-02,0.394,
2008-03,0.350,
2008-04,0.384,
2008-05,0.396,
2008-06,0.381,
2008-07,0.435,
2008-08,0.424,
2008-09,0.425,
2008-10,0.457,
2008-11,0.403,
2008-12,0.282,
2009-01,0.316,
2009-02,0.297,
2009-03,0.345,
2009-04,0.318,
2009-05,0.357,
2009-06,0.300,
2009-07,0.330,
2009-08,0.291,
2009-09,0.341,
2009-10,0.380,
2009-11,0.409,
2009-12,0.283,
2010-01,0.341,
2010-02,0.324,
2010-03,0.373,
2010-04,0.366,
2010-05,0.449,
2010-06,0.408,
2010-07,0.458,
2010-08,0.410,
2010-09,0.421,
2010-10,0.494,
2010-11,0.502,
2010-12,0.415,
2011-01,0.392,
2011-02,0.434,
2011-03,0.446,
2011-04,0.385,
2011-05,0.431,
2011-06,0.426,
2011-07,0.429,
2011-08,0.409,
2011-09,0.413,
2011-10,0.388,
2011-11,0.390,
2011-12,0.294,
2012-01,0.326,
2012-02,0.363,
2012-03,0.360,
2012-04,0.344,
2012-05,0.372,
2012-06,0.364,
2012-07,0.361,
2012-08,0.369,
2012-09,0.421,
2012-10,0.339,
2012-11,0.369,
2012-12,0.344,
2013-01,0.413,
2013-02,0.371,
2013-03,0.368,
2013-04,0.328,
2013-05,0.362,
2013-06,0.343,
2013-07,0.353,
2013-08,0.297,
2013-09,0.341,
2013-10,0.369,
2013-11,0.454,
2013-12,0.311,
2014-01,0.394,
2014-02,0.367,
2014-03,0.364,
2014-04,0.313,
2014-05,0.342,
2014-06,0.416,
2014-07,0.412,
2014-08,0.441,
2014-09,0.387,
2014-10,0.380,
2014-11,0.432,
2014-12,0.342,
