"",BBK01.SUD245,BBK01.SUD245_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations over EUR 0.25 million and up to EUR 1 million with initial rate fixation of over 1 and up 3 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:28,
2010-06,107,
2010-07,140,
2010-08,114,
2010-09,114,
2010-10,123,
2010-11,112,
2010-12,162,
2011-01,194,
2011-02,96,
2011-03,113,
2011-04,104,
2011-05,124,
2011-06,125,
2011-07,143,
2011-08,126,
2011-09,107,
2011-10,101,
2011-11,137,
2011-12,190,
2012-01,123,
2012-02,94,
2012-03,145,
2012-04,129,
2012-05,98,
2012-06,100,
2012-07,130,
2012-08,121,
2012-09,139,
2012-10,125,
2012-11,100,
2012-12,389,
2013-01,112,
2013-02,90,
2013-03,96,
2013-04,143,
2013-05,76,
2013-06,109,
2013-07,140,
2013-08,88,
2013-09,111,
2013-10,111,
2013-11,146,
2013-12,149,
2014-01,143,
2014-02,70,
2014-03,139,
2014-04,129,
2014-05,101,
2014-06,148,
2014-07,125,
2014-08,90,
2014-09,142,
2014-10,102,
2014-11,95,
2014-12,243,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
