"",BBK01.OEAD40K,BBK01.OEAD40K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:50,
2002-01,0.919,
2002-04,0.921,
2002-07,0.885,
2002-10,0.902,
2003-01,0.867,
2003-04,0.812,
2003-07,0.775,
2003-10,0.759,
2004-01,0.755,
2004-04,0.723,
2004-07,0.649,
2004-10,0.612,
2005-01,0.659,
2005-04,0.559,
2005-07,0.650,
2005-10,0.682,
2006-01,0.692,
2006-04,0.756,
2006-07,0.686,
2006-10,0.683,
2007-01,0.610,
2007-04,0.618,
2007-07,0.575,
2007-10,0.600,
2008-01,0.649,
2008-04,0.653,
2008-07,0.650,
2008-10,0.650,
2009-01,0.536,
2009-04,0.501,
2009-07,0.462,
2009-10,0.479,
2010-01,0.576,
2010-04,0.597,
2010-07,0.625,
2010-10,0.665,
2011-01,0.659,
2011-04,0.600,
2011-07,0.558,
2011-10,0.596,
2012-01,0.590,
2012-04,0.576,
2012-07,0.552,
2012-10,0.546,
2013-01,0.536,
2013-04,0.542,
2013-07,0.530,
2013-10,0.507,
2014-01,0.478,
2014-04,0.462,
2014-07,0.442,
