"",BBFB1.Q.N.DE.S19800.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:16,
1991-01,2851.635,
1991-04,3113.536,
1991-07,3553.392,
1991-10,3142.368,
1992-01,3111.558,
1992-04,3172.151,
1992-07,3310.385,
1992-10,3642.232,
1993-01,3535.591,
1993-04,3660.351,
1993-07,3771.476,
1993-10,4307.006,
1994-01,4070.799,
1994-04,4526.558,
1994-07,4824.424,
1994-10,5059.398,
1995-01,4897.393,
1995-04,4874.772,
1995-07,5163.019,
1995-10,5383.107,
1996-01,5320.864,
1996-04,5233.383,
1996-07,5705.829,
1996-10,5845.569,
1997-01,5352.123,
1997-04,6316.880,
1997-07,6424.599,
1997-10,6039.093,
1998-01,4777.662,
1998-04,4347.829,
1998-07,4038.317,
1998-10,3687.430,
1999-01,3878.221,
1999-04,4388.290,
1999-07,4583.098,
1999-10,5162.484,
2000-01,4971.567,
2000-04,5603.202,
2000-07,6235.274,
2000-10,6127.507,
2001-01,5720.972,
2001-04,6289.447,
2001-07,5925.956,
2001-10,5595.669,
2002-01,5492.142,
2002-04,6360.810,
2002-07,6330.600,
2002-10,6063.289,
2003-01,5195.630,
2003-04,5582.187,
2003-07,6333.747,
2003-10,5828.662,
2004-01,6375.044,
2004-04,6621.168,
2004-07,6223.904,
2004-10,6066.631,
2005-01,5740.600,
2005-04,6222.682,
2005-07,6245.778,
2005-10,6034.756,
2006-01,6492.259,
2006-04,6372.311,
2006-07,7330.679,
2006-10,7727.637,
2007-01,7438.802,
2007-04,7120.513,
2007-07,7418.584,
2007-10,7599.226,
2008-01,7907.633,
2008-04,8325.757,
2008-07,8434.061,
2008-10,6990.576,
2009-01,5747.344,
2009-04,6333.726,
2009-07,7725.636,
2009-10,8953.032,
2010-01,8391.147,
2010-04,9336.077,
2010-07,9885.370,
2010-10,10488.244,
2011-01,10479.644,
2011-04,10426.133,
2011-07,10417.797,
2011-10,11354.805,
2012-01,11186.717,
2012-04,11911.483,
2012-07,11830.116,
2012-10,11768.988,
2013-01,10845.128,
2013-04,11865.083,
2013-07,12345.357,
2013-10,11528.370,
2014-01,10552.743,Provisional value
2014-04,11385.035,Provisional value
2014-07,11892.129,Provisional value
