"",BBK01.OEAD05M,BBK01.OEAD05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:08,
2002-01,1.766,
2002-04,1.791,
2002-07,1.595,
2002-10,1.346,
2003-01,1.334,
2003-04,1.251,
2003-07,1.229,
2003-10,1.182,
2004-01,1.213,
2004-04,1.241,
2004-07,1.204,
2004-10,1.137,
2005-01,1.155,
2005-04,1.159,
2005-07,1.177,
2005-10,1.101,
2006-01,1.122,
2006-04,1.148,
2006-07,1.151,
2006-10,1.115,
2007-01,1.078,
2007-04,1.187,
2007-07,1.101,
2007-10,1.124,
2008-01,1.112,
2008-04,1.186,
2008-07,1.200,
2008-10,1.174,
2009-01,1.160,
2009-04,1.196,
2009-07,1.179,
2009-10,1.122,
2010-01,1.376,
2010-04,1.414,
2010-07,1.381,
2010-10,1.342,
2011-01,1.441,
2011-04,1.383,
2011-07,1.443,
2011-10,1.423,
2012-01,1.494,
2012-04,1.484,
2012-07,1.514,
2012-10,1.484,
2013-01,1.432,
2013-04,1.390,
2013-07,1.380,
2013-10,1.358,
2014-01,1.364,
2014-04,1.339,
2014-07,1.290,
