"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,3.395,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,3.500,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,3.465,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,5.653,
1982-10,5.587,
1982-11,5.430,
1982-12,4.796,
1983-01,4.798,
1983-02,4.427,
1983-03,4.641,
1983-04,4.870,
1983-05,5.140,
1983-06,5.121,
1983-07,5.589,
1983-08,5.530,
1983-09,5.840,
1983-10,5.475,
1983-11,5.606,
1983-12,5.126,
1984-01,5.324,
1984-02,5.330,
1984-03,5.569,
1984-04,5.821,
1984-05,5.652,
1984-06,5.731,
1984-07,5.901,
1984-08,6.283,
1984-09,7.340,
1984-10,6.559,
1984-11,6.713,
1984-12,7.882,
1985-01,7.484,
1985-02,7.709,
1985-03,8.269,
1985-04,8.313,
1985-05,8.714,
1985-06,8.587,
1985-07,8.488,
1985-08,9.355,
1985-09,10.009,
1985-10,8.326,
1985-11,8.486,
1985-12,9.216,
1986-01,9.042,
1986-02,9.448,
1986-03,10.347,
1986-04,10.197,
1986-05,11.071,
1986-06,11.257,
1986-07,10.869,
1986-08,11.112,
1986-09,11.356,
1986-10,10.526,
1986-11,10.605,
1986-12,9.622,
1987-01,10.068,
1987-02,11.269,
1987-03,11.331,
1987-04,11.476,
1987-05,11.464,
1987-06,10.985,
1987-07,10.611,
1987-08,10.688,
1987-09,11.160,
1987-10,10.583,
1987-11,10.645,
1987-12,10.170,
1988-01,10.314,
1988-02,10.534,
1988-03,10.615,
1988-04,10.374,
1988-05,10.512,
1988-06,10.365,
1988-07,10.697,
1988-08,10.612,
1988-09,11.157,
1988-10,10.766,
1988-11,10.756,
1988-12,11.210,
1989-01,11.136,
1989-02,11.253,
1989-03,10.529,
1989-04,11.274,
1989-05,11.727,
1989-06,12.363,
1989-07,12.106,
1989-08,12.312,
1989-09,13.794,
1989-10,16.539,
1989-11,17.214,
1989-12,18.255,
1990-01,18.815,
1990-02,17.082,
1990-03,17.153,
1990-04,16.825,
1990-05,16.921,
1990-06,16.174,
1990-07,16.042,
1990-08,16.832,
1990-09,17.431,
1990-10,17.783,
1990-11,19.181,
1990-12,20.110,
1991-01,20.336,
1991-02,20.975,
1991-03,22.587,
1991-04,23.017,
1991-05,22.160,
1991-06,22.851,
1991-07,21.583,
1991-08,20.890,
1991-09,21.785,
1991-10,21.667,
1991-11,21.803,
1991-12,20.582,
1992-01,20.089,
1992-02,19.500,
1992-03,20.202,
1992-04,20.255,
1992-05,20.225,
1992-06,19.835,
1992-07,19.500,
1992-08,20.156,
1992-09,19.613,
1992-10,19.717,
1992-11,19.664,
1992-12,18.278,
1993-01,18.260,
1993-02,18.725,
1993-03,19.154,
1993-04,19.837,
1993-05,20.195,
1993-06,19.961,
1993-07,19.752,
1993-08,19.886,
1993-09,20.091,
1993-10,20.387,
1993-11,20.591,
1993-12,22.058,
1994-01,22.092,
1994-02,22.247,
1994-03,23.606,
1994-04,24.558,
1994-05,24.520,
1994-06,24.487,
1994-07,24.847,
1994-08,25.438,
1994-09,26.025,
1994-10,26.434,
1994-11,25.785,
1994-12,25.680,
1995-01,26.687,
1995-02,26.938,
1995-03,27.119,
1995-04,27.807,
1995-05,28.416,
1995-06,27.819,
1995-07,27.656,
1995-08,27.664,
1995-09,28.753,
1995-10,29.684,
1995-11,30.190,
1995-12,28.745,
1996-01,29.652,
1996-02,31.994,
1996-03,33.714,
1996-04,35.107,
1996-05,37.584,
1996-06,36.538,
1996-07,33.188,
1996-08,32.706,
1996-09,36.193,
1996-10,36.377,
1996-11,37.135,
1996-12,42.851,
1997-01,49.845,
1997-02,51.706,
1997-03,52.951,
1997-04,55.674,
1997-05,56.104,
1997-06,54.361,
1997-07,53.383,
1997-08,49.945,
1997-09,51.962,
1997-10,49.069,
1997-11,47.427,
1997-12,48.217,
1998-01,48.086,
1998-02,53.602,
1998-03,63.110,
1998-04,65.188,
1998-05,71.136,
1998-06,63.444,
1998-07,58.474,
1998-08,55.022,
1998-09,61.873,
1998-10,56.493,
1998-11,60.908,
1998-12,60.441,
1999-01,61.549,
1999-02,68.372,
1999-03,78.338,
1999-04,86.997,
1999-05,95.842,
1999-06,96.084,
1999-07,84.317,
1999-08,84.614,
1999-09,83.347,
1999-10,80.804,
1999-11,85.859,
1999-12,84.273,
2000-01,87.233,
2000-02,91.287,
2000-03,103.116,
2000-04,106.936,
2000-05,119.712,
2000-06,118.918,
2000-07,102.651,
2000-08,106.020,
2000-09,110.592,
2000-10,110.956,
2000-11,108.763,
2000-12,107.870,
2001-01,116.536,
2001-02,125.886,
2001-03,147.828,
2001-04,147.999,
2001-05,148.788,
2001-06,146.033,
2001-07,127.811,
2001-08,125.292,
2001-09,122.642,
2001-10,122.364,
2001-11,112.654,
2001-12,120.242,
2002-01,112.859,
2002-02,112.989,
2002-03,112.005,
2002-04,107.267,
2002-05,98.628,
2002-06,98.858,
2002-07,94.937,
2002-08,93.494,
2002-09,99.165,
2002-10,100.656,
2002-11,94.005,
2002-12,96.110,
2003-01,98.997,
2003-02,102.107,
2003-03,108.787,
2003-04,109.109,
2003-05,108.909,
2003-06,106.232,
2003-07,105.925,
2003-08,103.344,
2003-09,108.033,
2003-10,104.759,
2003-11,107.863,
2003-12,105.850,
2004-01,116.071,
2004-02,110.092,
2004-03,113.238,
2004-04,111.653,
2004-05,113.834,
2004-06,114.728,
2004-07,114.754,
2004-08,117.677,
2004-09,119.568,
2004-10,117.185,
2004-11,111.304,
2004-12,105.989,
2005-01,104.054,
2005-02,109.202,
2005-03,110.904,
2005-04,113.308,
2005-05,114.224,
2005-06,117.508,
2005-07,116.676,
2005-08,116.689,
2005-09,121.684,
2005-10,122.542,
2005-11,121.913,
2005-12,122.751,
2006-01,120.412,
2006-02,129.383,
2006-03,129.780,
2006-04,137.914,
2006-05,133.240,
2006-06,131.178,
2006-07,133.304,
2006-08,132.637,
2006-09,132.136,
2006-10,134.830,
2006-11,128.010,
2006-12,127.766,
2007-01,125.817,
2007-02,122.768,
2007-03,127.442,
2007-04,130.890,
2007-05,131.940,
2007-06,128.884,
2007-07,133.926,
2007-08,128.574,
2007-09,131.792,
2007-10,130.806,
2007-11,124.795,
2007-12,129.244,
2008-01,122.743,
2008-02,126.992,
2008-03,128.734,
2008-04,136.854,
2008-05,135.678,
2008-06,139.986,
2008-07,143.651,
2008-08,140.596,
2008-09,141.588,
2008-10,145.487,
2008-11,149.160,
2008-12,148.175,
2009-01,144.541,
2009-02,141.499,
2009-03,147.415,
2009-04,145.674,
2009-05,147.141,
2009-06,146.580,
2009-07,144.245,
2009-08,142.730,
2009-09,139.863,
2009-10,141.686,
2009-11,140.197,
2009-12,141.637,
2010-01,142.845,
2010-02,141.670,
2010-03,150.017,
2010-04,146.963,
2010-05,153.283,
2010-06,161.174,
2010-07,163.892,
2010-08,165.793,
2010-09,163.743,
2010-10,164.582,
2010-11,166.158,
2010-12,162.579,
2011-01,163.699,
2011-02,164.624,
2011-03,174.308,
2011-04,172.072,
2011-05,178.009,
2011-06,169.451,
2011-07,173.315,
2011-08,175.241,
2011-09,181.721,
2011-10,173.649,
2011-11,166.940,
2011-12,169.505,
2012-01,174.294,
2012-02,165.794,
2012-03,173.805,
2012-04,159.999,
2012-05,161.300,
2012-06,167.100,
2012-07,163.232,
2012-08,162.102,
2012-09,161.214,
2012-10,159.878,
2012-11,159.898,
2012-12,160.642,
2013-01,157.136,
2013-02,155.042,
2013-03,164.796,
2013-04,167.451,
2013-05,168.238,
2013-06,172.527,
2013-07,165.358,
2013-08,168.715,
2013-09,171.057,
2013-10,160.735,
2013-11,159.854,
2013-12,163.597,
2014-01,161.935,
2014-02,164.131,
2014-03,167.480,
2014-04,173.836,
2014-05,172.052,
2014-06,171.969,
2014-07,173.543,
2014-08,180.181,
2014-09,181.694,
2014-10,177.221,
2014-11,171.576,
2014-12,179.349,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
