"",BBK01.OEAA06T,BBK01.OEAA06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:19,
2002-01,1.022,
2002-04,0.982,
2002-07,0.967,
2002-10,0.994,
2003-01,0.942,
2003-04,0.948,
2003-07,0.962,
2003-10,0.994,
2004-01,1.019,
2004-04,1.030,
2004-07,1.025,
2004-10,1.136,
2005-01,1.150,
2005-04,1.103,
2005-07,1.114,
2005-10,1.095,
2006-01,1.080,
2006-04,1.060,
2006-07,1.084,
2006-10,1.042,
2007-01,1.040,
2007-04,1.005,
2007-07,1.033,
2007-10,0.938,
2008-01,1.035,
2008-04,1.023,
2008-07,1.028,
2008-10,1.062,
2009-01,1.027,
2009-04,0.956,
2009-07,0.928,
2009-10,0.932,
2010-01,0.883,
2010-04,0.908,
2010-07,1.045,
2010-10,0.956,
2011-01,1.120,
2011-04,1.181,
2011-07,1.194,
2011-10,1.278,
2012-01,1.305,
2012-04,1.429,
2012-07,1.475,
2012-10,1.365,
2013-01,1.405,
2013-04,1.462,
2013-07,1.496,
2013-10,1.478,
2014-01,1.444,
2014-04,1.486,
2014-07,1.489,
