"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:33,
1991-01,4.118,
1991-04,4.226,
1991-07,0.638,
1991-10,1.558,
1992-01,-31.632,
1992-04,-31.632,
1992-07,-31.883,
1992-10,-42.573,
1993-01,76.571,
1993-04,76.395,
1993-07,76.950,
1993-10,76.950,
1994-01,119.236,
1994-04,121.793,
1994-07,121.793,
1994-10,119.532,
1995-01,-42.343,
1995-04,-42.343,
1995-07,-42.394,
1995-10,-49.349,
1996-01,50.584,
1996-04,44.048,
1996-07,49.374,
1996-10,47.448,
1997-01,-68.751,
1997-04,-57.266,
1997-07,-61.842,
1997-10,-58.602,
1998-01,-,Nothing exists
1998-04,-1.143,
1998-07,-0.739,
1998-10,-5.718,
1999-01,-138.840,
1999-04,-136.034,
1999-07,-135.000,
1999-10,-138.323,
2000-01,76.024,
2000-04,66.970,
2000-07,69.184,
2000-10,74.872,
2001-01,-22.461,
2001-04,-47.597,
2001-07,-21.603,
2001-10,-63.002,
2002-01,-42.024,
2002-04,-77.309,
2002-07,-34.747,
2002-10,-57.477,
2003-01,-45.557,
2003-04,-78.373,
2003-07,-68.934,
2003-10,-92.302,
2004-01,139.698,
2004-04,141.564,
2004-07,157.232,
2004-10,157.105,
2005-01,82.542,
2005-04,118.514,
2005-07,60.077,
2005-10,-1.274,
2006-01,-35.613,
2006-04,80.121,
2006-07,-30.365,
2006-10,1.158,
2007-01,275.045,
2007-04,279.032,
2007-07,175.835,
2007-10,-110.239,
2008-01,174.664,
2008-04,-66.522,
2008-07,-40.736,
2008-10,117.159,
2009-01,56.849,
2009-04,83.901,
2009-07,48.758,
2009-10,27.223,
2010-01,330.070,
2010-04,26.475,
2010-07,176.947,
2010-10,245.479,
2011-01,242.301,
2011-04,238.390,
2011-07,25.517,
2011-10,-254.285,
2012-01,246.007,
2012-04,249.735,
2012-07,276.882,
2012-10,193.427,
2013-01,114.541,
2013-04,-75.459,
2013-07,114.392,
2013-10,70.736,
2014-01,74.377,Provisional value
2014-04,-26.284,Provisional value
2014-07,110.912,Provisional value
2014-10,51.277,Provisional value
