"",BBK01.OEAH18H,BBK01.OEAH18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:49,
2002-01,45.385,
2002-04,43.999,
2002-07,44.209,
2002-10,42.317,
2003-01,41.393,
2003-04,40.144,
2003-07,38.524,
2003-10,38.520,
2004-01,38.305,
2004-04,36.183,
2004-07,35.646,
2004-10,37.339,
2005-01,35.749,
2005-04,35.264,
2005-07,35.522,
2005-10,36.168,
2006-01,38.177,
2006-04,40.168,
2006-07,45.345,
2006-10,46.322,
2007-01,52.079,
2007-04,55.061,
2007-07,66.617,
2007-10,74.603,
2008-01,78.285,
2008-04,84.450,
2008-07,90.664,
2008-10,88.735,
2009-01,76.440,
2009-04,82.267,
2009-07,62.939,
2009-10,54.089,
2010-01,52.580,
2010-04,49.262,
2010-07,50.421,
2010-10,49.334,
2011-01,45.643,
2011-04,52.697,
2011-07,60.485,
2011-10,66.220,
2012-01,57.524,
2012-04,54.992,
2012-07,58.256,
2012-10,51.633,
2013-01,55.097,
2013-04,60.042,
2013-07,37.281,
2013-10,37.448,
2014-01,38.550,
2014-04,37.712,
2014-07,36.994,
