"",BBK01.OEAC21M,BBK01.OEAC21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:55,
2002-01,0.874,
2002-04,0.985,
2002-07,0.988,
2002-10,0.914,
2003-01,0.971,
2003-04,1.040,
2003-07,1.059,
2003-10,0.860,
2004-01,0.900,
2004-04,0.970,
2004-07,1.018,
2004-10,0.833,
2005-01,0.843,
2005-04,0.898,
2005-07,0.957,
2005-10,0.774,
2006-01,0.847,
2006-04,0.906,
2006-07,0.957,
2006-10,0.812,
2007-01,0.882,
2007-04,1.031,
2007-07,1.027,
2007-10,0.825,
2008-01,0.883,
2008-04,0.953,
2008-07,0.987,
2008-10,0.803,
2009-01,0.922,
2009-04,0.938,
2009-07,0.989,
2009-10,0.821,
2010-01,0.941,
2010-04,0.990,
2010-07,0.976,
2010-10,0.712,
2011-01,0.828,
2011-04,0.911,
2011-07,0.936,
2011-10,0.782,
2012-01,0.841,
2012-04,0.957,
2012-07,0.986,
2012-10,0.830,
2013-01,0.904,
2013-04,1.048,
2013-07,1.019,
2013-10,0.845,
2014-01,0.917,
2014-04,1.042,
2014-07,1.063,
