"",BBSF2.M.1.S.I0000.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Domestic investors total / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:21,
2009-09,296,
2009-10,1569,
2009-11,290,
2009-12,943,
2010-01,318,
2010-02,93,
2010-03,93,
2010-04,134,
2010-05,209,
2010-06,76,
2010-07,277,
2010-08,205,
2010-09,154,
2010-10,503,
2010-11,437,
2010-12,595,
2011-01,176,
2011-02,351,
2011-03,275,
2011-04,191,
2011-05,388,
2011-06,200,
2011-07,351,
2011-08,278,
2011-09,349,
2011-10,640,
2011-11,525,
2011-12,896,
2012-01,350,
2012-02,124,
2012-03,434,
2012-04,150,
2012-05,256,
2012-06,420,
2012-07,335,
2012-08,564,
2012-09,434,
2012-10,503,
2012-11,397,
2012-12,1326,
2013-01,679,
2013-02,622,
2013-03,655,
2013-04,598,
2013-05,296,
2013-06,570,
2013-07,529,
2013-08,619,
2013-09,319,
2013-10,357,
2013-11,1423,
2013-12,1268,
2014-01,415,
2014-02,659,
2014-03,977,
2014-04,248,
2014-05,569,
2014-06,875,
2014-07,576,
2014-08,582,
2014-09,558,
2014-10,629,
2014-11,1194,
