"",BBK01.OEAD15J,BBK01.OEAD15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:21,
2002-01,0.082,
2002-04,0.085,
2002-07,0.089,
2002-10,0.076,
2003-01,0.098,
2003-04,0.080,
2003-07,0.099,
2003-10,0.067,
2004-01,0.060,
2004-04,0.067,
2004-07,0.060,
2004-10,0.046,
2005-01,0.045,
2005-04,0.047,
2005-07,0.047,
2005-10,0.041,
2006-01,0.036,
2006-04,0.033,
2006-07,0.037,
2006-10,0.037,
2007-01,0.034,
2007-04,0.035,
2007-07,0.027,
2007-10,0.030,
2008-01,0.036,
2008-04,0.042,
2008-07,0.047,
2008-10,0.051,
2009-01,0.047,
2009-04,0.043,
2009-07,0.044,
2009-10,0.044,
2010-01,0.017,
2010-04,0.058,
2010-07,0.052,
2010-10,0.053,
2011-01,0.058,
2011-04,0.075,
2011-07,0.077,
2011-10,0.082,
2012-01,0.081,
2012-04,0.082,
2012-07,0.089,
2012-10,0.087,
2013-01,0.088,
2013-04,0.092,
2013-07,0.093,
2013-10,0.102,
2014-01,0.091,
2014-04,0.099,
2014-07,0.100,
