"",BBK01.OEXL07I,BBK01.OEXL07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:26,
2002-01,3.787,
2002-04,3.674,
2002-07,3.651,
2002-10,3.686,
2003-01,3.572,
2003-04,3.455,
2003-07,2.475,
2003-10,2.490,
2004-01,2.443,
2004-04,2.387,
2004-07,2.336,
2004-10,2.331,
2005-01,2.344,
2005-04,2.313,
2005-07,2.253,
2005-10,2.302,
2006-01,2.315,
2006-04,2.311,
2006-07,2.299,
2006-10,2.887,
2007-01,3.310,
2007-04,3.399,
2007-07,3.611,
2007-10,3.831,
2008-01,3.855,
2008-04,3.908,
2008-07,4.002,
2008-10,4.710,
2009-01,4.590,
2009-04,4.550,
2009-07,4.603,
2009-10,4.320,
2010-01,3.942,
2010-04,3.815,
2010-07,3.742,
2010-10,3.946,
2011-01,4.107,
2011-04,4.082,
2011-07,4.098,
2011-10,4.105,
2012-01,3.987,
2012-04,3.908,
2012-07,3.776,
2012-10,3.654,
2013-01,3.494,
2013-04,3.373,
2013-07,3.335,
2013-10,3.353,
2014-01,3.327,
2014-04,3.356,
2014-07,3.561,
