"",BBK01.OEAB22K,BBK01.OEAB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:06,
2002-01,0.744,
2002-04,0.665,
2002-07,0.146,
2002-10,0.265,
2003-01,0.317,
2003-04,0.226,
2003-07,0.297,
2003-10,0.712,
2004-01,0.451,
2004-04,0.432,
2004-07,0.470,
2004-10,0.565,
2005-01,0.838,
2005-04,0.913,
2005-07,0.523,
2005-10,0.437,
2006-01,0.567,
2006-04,0.513,
2006-07,0.680,
2006-10,0.903,
2007-01,0.763,
2007-04,0.610,
2007-07,0.585,
2007-10,0.466,
2008-01,0.228,
2008-04,0.225,
2008-07,0.243,
2008-10,0.870,
2009-01,1.704,
2009-04,1.442,
2009-07,1.812,
2009-10,1.917,
2010-01,2.084,
2010-04,2.242,
2010-07,0.422,
2010-10,0.524,
2011-01,0.106,
2011-04,0.103,
2011-07,0.123,
2011-10,0.201,
2012-01,0.169,
2012-04,0.178,
2012-07,0.235,
2012-10,0.194,
2013-01,0.179,
2013-04,0.212,
2013-07,0.148,
2013-10,0.391,
2014-01,0.385,
2014-04,0.513,
2014-07,0.475,
