"",BBK01.OEXJ02V,BBK01.OEXJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:34,
2002-01,0.584,
2002-04,0.618,
2002-07,0.644,
2002-10,0.712,
2003-01,0.679,
2003-04,0.784,
2003-07,0.816,
2003-10,0.774,
2004-01,0.790,
2004-04,0.818,
2004-07,0.859,
2004-10,1.032,
2005-01,0.901,
2005-04,1.011,
2005-07,1.051,
2005-10,0.994,
2006-01,0.944,
2006-04,1.026,
2006-07,0.944,
2006-10,0.950,
2007-01,0.911,
2007-04,0.878,
2007-07,0.807,
2007-10,0.865,
2008-01,0.814,
2008-04,0.786,
2008-07,0.762,
2008-10,0.966,
2009-01,1.443,
2009-04,1.630,
2009-07,1.899,
2009-10,1.900,
2010-01,1.909,
2010-04,1.886,
2010-07,1.928,
2010-10,1.977,
2011-01,1.847,
2011-04,1.873,
2011-07,1.923,
2011-10,1.450,
2012-01,1.367,
2012-04,1.337,
2012-07,1.375,
2012-10,1.531,
2013-01,1.409,
2013-04,1.476,
2013-07,1.507,
2013-10,1.491,
2014-01,1.580,
2014-04,1.606,
2014-07,1.703,
