"",BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.S._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / General government / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:51,
1991-01,35.540,
1991-04,22.372,
1991-07,-107.319,
1991-10,47.833,
1992-01,-23.884,
1992-04,-33.035,
1992-07,11.101,
1992-10,-14.484,
1993-01,19.876,
1993-04,-16.751,
1993-07,-25.667,
1993-10,10.804,
1994-01,-11.084,
1994-04,-1.497,
1994-07,13.305,
1994-10,12.027,
1995-01,-3.906,
1995-04,5.844,
1995-07,11.415,
1995-10,22.584,
1996-01,-47.478,
1996-04,-1.634,
1996-07,5.430,
1996-10,37.235,
1997-01,6.734,
1997-04,-1.020,
1997-07,-13.203,
1997-10,-7.287,
1998-01,1.398,
1998-04,8.234,
1998-07,-,Nothing exists
1998-10,74.483,
1999-01,9.748,
1999-04,32.058,
1999-07,52.524,
1999-10,29.754,
2000-01,32.646,
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-,Nothing exists
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,0.000,
2003-07,0.000,
2003-10,-,Nothing exists
2004-01,49.817,
2004-04,-34.891,
2004-07,3.249,
2004-10,-34.488,
2005-01,23.750,
2005-04,3.123,
2005-07,12.090,
2005-10,-42.025,
2006-01,17.412,
2006-04,19.989,
2006-07,-21.036,
2006-10,-18.979,
2007-01,21.384,
2007-04,14.171,
2007-07,-28.846,
2007-10,234.346,
2008-01,-225.993,
2008-04,5.702,
2008-07,-3.596,
2008-10,-23.143,
2009-01,930.320,
2009-04,-647.509,
2009-07,-301.701,
2009-10,642.888,
2010-01,-762.860,
2010-04,349.671,
2010-07,35.379,
2010-10,7338.079,
2011-01,2464.071,
2011-04,-1767.964,
2011-07,-3012.865,
2011-10,22.801,
2012-01,885.497,
2012-04,1719.290,
2012-07,-1455.728,
2012-10,4954.453,
2013-01,-438.000,
2013-04,-1789.000,
2013-07,-156.000,
2013-10,-357.000,
2014-01,-484.000,
2014-04,466.000,
2014-07,660.000,
