"",BBFN1.M.DE.N.1.A.U3.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:35,
1995-01,55.517,
1995-02,55.337,
1995-03,54.900,
1995-04,56.535,
1995-05,55.870,
1995-06,56.705,
1995-07,57.407,
1995-08,53.592,
1995-09,55.973,
1995-10,55.483,
1995-11,56.023,
1995-12,48.826,
1996-01,53.768,
1996-02,52.770,
1996-03,52.360,
1996-04,57.956,
1996-05,60.123,
1996-06,57.325,
1996-07,56.677,
1996-08,55.894,
1996-09,54.927,
1996-10,58.367,
1996-11,60.105,
1996-12,58.979,
1997-01,61.099,
1997-02,63.402,
1997-03,62.386,
1997-04,67.521,
1997-05,67.974,
1997-06,64.124,
1997-07,65.011,
1997-08,62.708,
1997-09,64.463,
1997-10,68.981,
1997-11,65.120,
1997-12,57.576,
1998-01,68.383,
1998-02,73.059,
1998-03,74.695,
1998-04,82.350,
1998-05,84.149,
1998-06,77.669,
1998-07,76.412,
1998-08,70.334,
1998-09,71.528,
1998-10,74.840,
1998-11,69.480,
1998-12,59.601,
1999-01,56.206,
1999-02,60.573,
1999-03,62.167,
1999-04,64.493,
1999-05,66.136,
1999-06,66.150,
1999-07,62.533,
1999-08,62.092,
1999-09,62.090,
1999-10,63.370,
1999-11,64.727,
1999-12,53.546,
2000-01,58.762,
2000-02,64.079,
2000-03,73.189,
2000-04,73.740,
2000-05,77.922,
2000-06,79.226,
2000-07,74.417,
2000-08,72.277,
2000-09,66.059,
2000-10,71.679,
2000-11,63.800,
2000-12,56.806,
2001-01,67.588,
2001-02,75.299,
2001-03,77.244,
2001-04,81.526,
2001-05,70.309,
2001-06,71.301,
2001-07,69.953,
2001-08,71.135,
2001-09,70.914,
2001-10,73.475,
2001-11,69.728,
2001-12,71.599,
2002-01,74.089,
2002-02,76.225,
2002-03,75.323,
2002-04,81.330,
2002-05,76.593,
2002-06,72.067,
2002-07,76.992,
2002-08,76.282,
2002-09,78.272,
2002-10,84.148,
2002-11,81.779,
2002-12,71.440,
2003-01,79.794,
2003-02,84.029,
2003-03,90.355,
2003-04,94.473,
2003-05,91.839,
2003-06,89.270,
2003-07,94.803,
2003-08,90.483,
2003-09,87.558,
2003-10,91.876,
2003-11,87.577,
2003-12,83.040,
2004-01,91.392,
2004-02,92.183,
2004-03,93.525,
2004-04,93.313,
2004-05,102.806,
2004-06,103.777,
2004-07,104.183,
2004-08,103.243,
2004-09,105.507,
2004-10,108.922,
2004-11,104.525,
2004-12,95.320,
2005-01,100.949,
2005-02,103.551,
2005-03,105.954,
2005-04,104.310,
2005-05,103.993,
2005-06,102.690,
2005-07,103.132,
2005-08,98.276,
2005-09,104.489,
2005-10,101.914,
2005-11,103.255,
2005-12,95.276,
2006-01,101.807,
2006-02,104.939,
2006-03,107.153,
2006-04,109.872,
2006-05,105.589,
2006-06,106.313,
2006-07,104.411,
2006-08,104.355,
2006-09,109.366,
2006-10,111.224,
2006-11,111.780,
2006-12,100.852,
2007-01,110.771,
2007-02,116.101,
2007-03,116.356,
2007-04,116.075,
2007-05,113.526,
2007-06,112.553,
2007-07,113.869,
2007-08,117.820,
2007-09,120.472,
2007-10,129.391,
2007-11,121.837,
2007-12,112.387,
2008-01,125.193,
2008-02,123.346,
2008-03,123.247,
2008-04,127.508,
2008-05,122.224,
2008-06,119.547,
2008-07,120.829,
2008-08,118.257,
2008-09,121.408,
2008-10,119.890,
2008-11,117.917,
2008-12,117.315,
2009-01,116.491,
2009-02,118.909,
2009-03,127.005,
2009-04,126.280,
2009-05,125.314,
2009-06,128.631,
2009-07,128.678,
2009-08,126.426,
2009-09,127.160,
2009-10,131.025,
2009-11,128.375,
2009-12,121.440,
2010-01,116.196,
2010-02,119.336,
2010-03,126.682,
2010-04,129.518,
2010-05,130.234,
2010-06,128.077,
2010-07,130.409,
2010-08,131.423,
2010-09,138.766,
2010-10,140.777,
2010-11,140.859,
2010-12,127.586,
2011-01,134.282,
2011-02,137.351,
2011-03,133.060,
2011-04,133.161,
2011-05,135.227,
2011-06,133.275,
2011-07,131.146,
2011-08,136.275,
2011-09,134.319,
2011-10,140.989,
2011-11,136.740,
2011-12,135.578,
2012-01,137.023,
2012-02,139.686,
2012-03,151.429,
2012-04,142.637,
2012-05,143.446,
2012-06,154.918,
2012-07,157.661,
2012-08,149.592,
2012-09,156.304,
2012-10,153.203,
2012-11,155.135,
2012-12,148.960,
2013-01,151.837,
2013-02,153.632,
2013-03,157.699,
2013-04,152.729,
2013-05,149.445,
2013-06,153.157,
2013-07,145.730,
2013-08,147.733,
2013-09,157.924,
2013-10,159.768,
2013-11,162.793,
2013-12,159.597,
2014-01,161.391,
2014-02,159.602,
2014-03,171.466,
2014-04,171.568,
2014-05,175.187,
2014-06,170.152,
2014-07,167.322,
2014-08,170.442,
2014-09,172.381,
2014-10,169.960,
2014-11,165.631,
2014-12,155.684,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, indluding Estonia.",
