"",BBK01.CEHOQ3,BBK01.CEHOQ3_FLAGS
"",Other deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2013-05-03 12:08:11,
1991-01,4.1,
1991-04,-15.7,
1991-07,-3.0,
1991-10,22.1,
1992-01,-11.2,
1992-04,-14.3,
1992-07,-4.3,
1992-10,18.3,
1993-01,2.0,
1993-04,6.0,
1993-07,7.4,
1993-10,35.7,
1994-01,-26.9,
1994-04,-13.2,
1994-07,1.7,
1994-10,30.2,
1995-01,-9.8,
1995-04,17.4,
1995-07,9.2,
1995-10,6.8,
1996-01,-10.5,
1996-04,-2.2,
1996-07,-7.7,
1996-10,30.3,
1997-01,-5.6,
1997-04,0.5,
1997-07,6.2,
1997-10,29.3,
1998-01,-15.7,
1998-04,8.5,
1998-07,-8.0,
1998-10,52.6,
1999-01,-31.1,
1999-04,-0.9,
1999-07,19.4,
1999-10,15.1,
2000-01,-9.7,
2000-04,5.0,
2000-07,25.8,
2000-10,15.8,
2001-01,8.3,
2001-04,-14.3,
2001-07,31.2,
2001-10,28.2,
2002-01,-4.9,
2002-04,21.2,
2002-07,42.3,
2002-10,34.7,
2003-01,29.4,
2003-04,38.2,
2003-07,-27.8,
2003-10,32.6,
2004-01,-0.6,
2004-04,25.9,
2004-07,-2.2,
2004-10,88.2,
2005-01,-5.2,
2005-04,22.1,
2005-07,33.8,
2005-10,15.5,
2006-01,30.5,
2006-04,42.8,
2006-07,-7.0,
2006-10,32.0,
2007-01,-3.9,
2007-04,38.0,
2007-07,48.6,
2007-10,41.2,
2008-01,-20.8,
2008-04,5.9,
2008-07,28.7,
2008-10,-45.0,
2009-01,-75.9,
2009-04,-7.8,
2009-07,-56.7,
2009-10,29.8,
2010-01,-46.6,
2010-04,-0.4,
2010-07,-42.8,
2010-10,-65.5,
2011-01,-43.0,
2011-04,-6.1,
2011-07,-6.2,
2011-10,22.8,
2012-01,-38.7,
2012-04,-40.5,
2012-07,-16.7,
2012-10,-6.9,
