"",BBK01.OEAC48H,BBK01.OEAC48H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:42,
2002-01,5.781,
2002-04,5.785,
2002-07,5.781,
2002-10,5.662,
2003-01,5.590,
2003-04,5.509,
2003-07,5.316,
2003-10,5.308,
2004-01,5.175,
2004-04,5.216,
2004-07,5.240,
2004-10,5.016,
2005-01,4.941,
2005-04,4.839,
2005-07,4.907,
2005-10,4.892,
2006-01,4.946,
2006-04,4.911,
2006-07,4.945,
2006-10,4.931,
2007-01,4.738,
2007-04,4.961,
2007-07,4.936,
2007-10,4.999,
2008-01,5.041,
2008-04,5.142,
2008-07,5.230,
2008-10,6.378,
2009-01,6.870,
2009-04,6.561,
2009-07,6.754,
2009-10,7.059,
2010-01,7.148,
2010-04,7.660,
2010-07,7.864,
2010-10,8.497,
2011-01,8.712,
2011-04,9.391,
2011-07,9.385,
2011-10,9.753,
2012-01,9.977,
2012-04,10.264,
2012-07,10.564,
2012-10,10.830,
2013-01,11.197,
2013-04,11.111,
2013-07,11.204,
2013-10,11.293,
2014-01,11.346,
2014-04,11.787,
2014-07,11.865,
