"",BBK01.QUJ374,BBK01.QUJ374_FLAGS
"",Banks in Germany: Liabilities to non-residents / Slovenia / US dollar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:11:37,
1994-01,0.049,
1994-02,0.044,
1994-03,0.038,
1994-04,0.038,
1994-05,0.042,
1994-06,0.021,
1994-07,0.030,
1994-08,0.028,
1994-09,0.021,
1994-10,0.027,
1994-11,0.021,
1994-12,0.027,
1995-01,0.025,
1995-02,0.026,
1995-03,0.024,
1995-04,0.021,
1995-05,0.029,
1995-06,0.025,
1995-07,0.037,
1995-08,0.029,
1995-09,0.025,
1995-10,0.021,
1995-11,0.021,
1995-12,0.008,
1996-01,0.012,
1996-02,0.011,
1996-03,0.011,
1996-04,0.018,
1996-05,0.020,
1996-06,0.020,
1996-07,0.014,
1996-08,0.012,
1996-09,0.017,
1996-10,0.010,
1996-11,0.007,
1996-12,0.016,
1997-01,0.015,
1997-02,0.009,
1997-03,0.008,
1997-04,0.010,
1997-05,0.008,
1997-06,0.018,
1997-07,0.031,
1997-08,0.032,
1997-09,0.040,
1997-10,0.037,
1997-11,0.015,
1997-12,0.021,
1998-01,0.058,
1998-02,0.057,
1998-03,0.070,
1998-04,0.015,
1998-05,0.025,
1998-06,0.039,
1998-07,0.027,
1998-08,0.040,
1998-09,0.057,
1998-10,0.049,
1998-11,0.087,
1998-12,0.054,
1999-01,0.039,
1999-02,0.040,
1999-03,0.015,
1999-04,0.012,
1999-05,0.015,
1999-06,0.021,
1999-07,0.019,
1999-08,0.019,
1999-09,0.021,
1999-10,0.032,
1999-11,0.050,
1999-12,0.032,
2000-01,0.027,
2000-02,0.029,
2000-03,0.065,
2000-04,0.050,
2000-05,0.030,
2000-06,0.019,
2000-07,0.018,
2000-08,0.016,
2000-09,0.052,
2000-10,0.028,
2000-11,0.029,
2000-12,0.041,
2001-01,0.026,
2001-02,0.040,
2001-03,0.027,
2001-04,0.028,
2001-05,0.040,
2001-06,0.025,
2001-07,0.029,
2001-08,0.023,
2001-09,0.020,
2001-10,0.020,
2001-11,0.020,
2001-12,0.056,
2002-01,0.028,
2002-02,0.031,
2002-03,0.038,
2002-04,0.017,
2002-05,0.032,
2002-06,0.081,
2002-07,0.029,
2002-08,0.050,
2002-09,0.026,
2002-10,0.042,
2002-11,0.052,
2002-12,0.045,
2003-01,0.055,
2003-02,0.028,
2003-03,0.033,
2003-04,0.024,
2003-05,0.017,
2003-06,0.059,
2003-07,0.032,
2003-08,0.041,
2003-09,0.043,
2003-10,0.023,
2003-11,0.024,
2003-12,0.012,
2004-01,0.028,
2004-02,0.052,
2004-03,0.040,
2004-04,0.049,
2004-05,0.064,
2004-06,0.035,
2004-07,0.011,
2004-08,0.027,
2004-09,0.012,
2004-10,0.018,
2004-11,0.028,
2004-12,0.042,
2005-01,0.031,
2005-02,0.010,
2005-03,0.035,
2005-04,0.013,
2005-05,0.010,
2005-06,0.036,
2005-07,0.020,
2005-08,0.015,
2005-09,0.016,
2005-10,0.016,
2005-11,0.024,
2005-12,0.008,
2006-01,0.015,
2006-02,0.022,
2006-03,0.009,
2006-04,0.030,
2006-05,0.005,
2006-06,0.044,
2006-07,0.045,
2006-08,0.011,
2006-09,0.125,
2006-10,0.019,
2006-11,0.007,
2006-12,0.084,
2007-01,0.029,
2007-02,0.035,
2007-03,0.038,
2007-04,0.094,
2007-05,0.023,
2007-06,0.030,
2007-07,0.059,
2007-08,0.061,
2007-09,0.073,
2007-10,0.044,
2007-11,0.067,
2007-12,0.035,
2008-01,0.040,
2008-02,0.050,
2008-03,0.054,
2008-04,0.051,
2008-05,0.073,
2008-06,0.086,
2008-07,0.045,
2008-08,0.053,
2008-09,0.042,
2008-10,0.053,
2008-11,0.052,
2008-12,0.009,
2009-01,0.012,
2009-02,0.033,
2009-03,0.035,
2009-04,0.016,
2009-05,0.020,
2009-06,0.066,
2009-07,0.041,
2009-08,0.024,
2009-09,0.055,
2009-10,0.051,
2009-11,0.043,
2009-12,0.048,
2010-01,0.093,
2010-02,0.104,
2010-03,0.097,
2010-04,0.044,
2010-05,0.059,
2010-06,0.077,
2010-07,0.066,
2010-08,0.053,
2010-09,0.050,
2010-10,0.049,
2010-11,0.038,
2010-12,0.043,
2011-01,0.048,
2011-02,0.049,
2011-03,0.047,
2011-04,0.052,
2011-05,0.063,
2011-06,0.052,
2011-07,0.050,
2011-08,0.057,
2011-09,0.055,
2011-10,0.034,
2011-11,0.050,
2011-12,0.033,
2012-01,0.032,
2012-02,0.015,
2012-03,0.014,
2012-04,0.010,
2012-05,0.026,
2012-06,0.009,
2012-07,0.017,
2012-08,0.022,
2012-09,0.024,
2012-10,0.020,
2012-11,0.036,
2012-12,0.017,
2013-01,0.059,
2013-02,0.048,
2013-03,0.038,
2013-04,0.032,
2013-05,0.030,
2013-06,0.056,
2013-07,0.028,
2013-08,0.019,
2013-09,0.026,
2013-10,0.028,
2013-11,0.033,
2013-12,0.027,
2014-01,0.024,
2014-02,0.025,
2014-03,0.041,
2014-04,0.046,
2014-05,0.029,
2014-06,0.105,
2014-07,0.068,
2014-08,0.063,
2014-09,0.074,
2014-10,0.057,
2014-11,0.053,
2014-12,0.053,
