"",BBFB1.Q.N.DE.S6.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:45,
1991-01,838.187,
1991-04,827.397,
1991-07,869.742,
1991-10,791.331,
1992-01,948.018,
1992-04,922.970,
1992-07,925.397,
1992-10,919.069,
1993-01,863.021,
1993-04,775.546,
1993-07,781.553,
1993-10,711.915,
1994-01,859.880,
1994-04,841.478,
1994-07,836.215,
1994-10,934.381,
1995-01,889.665,
1995-04,901.539,
1995-07,851.504,
1995-10,870.773,
1996-01,928.217,
1996-04,902.457,
1996-07,882.642,
1996-10,949.694,
1997-01,702.499,
1997-04,707.436,
1997-07,606.552,
1997-10,553.413,
1998-01,600.822,
1998-04,644.326,
1998-07,857.806,
1998-10,728.411,
1999-01,556.318,
1999-04,846.616,
1999-07,1023.425,
1999-10,1126.015,
2000-01,1353.575,
2000-04,1189.133,
2000-07,1268.648,
2000-10,1310.811,
2001-01,1185.165,
2001-04,1157.072,
2001-07,1065.777,
2001-10,977.550,
2002-01,1047.019,
2002-04,1146.735,
2002-07,1216.306,
2002-10,1258.420,
2003-01,1003.329,
2003-04,982.396,
2003-07,1076.875,
2003-10,1128.415,
2004-01,1566.693,
2004-04,1579.280,
2004-07,1695.897,
2004-10,1726.347,
2005-01,1689.597,
2005-04,1876.491,
2005-07,1875.863,
2005-10,2036.934,
2006-01,1909.665,
2006-04,2054.117,
2006-07,2148.821,
2006-10,2172.626,
2007-01,2714.719,
2007-04,2703.669,
2007-07,2445.931,
2007-10,2210.178,
2008-01,2433.277,
2008-04,1827.058,
2008-07,1608.501,
2008-10,1997.578,
2009-01,1856.414,
2009-04,1946.183,
2009-07,2011.829,
2009-10,2066.686,
2010-01,2798.240,
2010-04,3031.236,
2010-07,3139.496,
2010-10,3250.344,
2011-01,3399.433,
2011-04,3654.719,
2011-07,3650.192,
2011-10,3694.660,
2012-01,3636.708,
2012-04,3649.847,
2012-07,3627.450,
2012-10,3664.821,
2013-01,3764.143,
2013-04,3846.140,
2013-07,3848.154,
2013-10,3878.992,
2014-01,3695.429,Provisional value
2014-04,3893.069,Provisional value
2014-07,3967.298,Provisional value
