"",BBK01.OEXO03N,BBK01.OEXO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:21,
2002-01,5.902,
2002-04,5.498,
2002-07,5.047,
2002-10,5.580,
2003-01,5.460,
2003-04,5.321,
2003-07,5.741,
2003-10,5.203,
2004-01,6.113,
2004-04,5.439,
2004-07,5.329,
2004-10,4.112,
2005-01,2.225,
2005-04,1.897,
2005-07,2.204,
2005-10,2.263,
2006-01,2.360,
2006-04,2.379,
2006-07,2.137,
2006-10,2.241,
2007-01,2.992,
2007-04,2.237,
2007-07,2.403,
2007-10,2.523,
2008-01,2.984,
2008-04,2.754,
2008-07,2.848,
2008-10,3.747,
2009-01,3.296,
2009-04,2.698,
2009-07,2.541,
2009-10,3.735,
2010-01,3.523,
2010-04,2.195,
2010-07,2.151,
2010-10,2.407,
2011-01,2.799,
2011-04,2.410,
2011-07,2.124,
2011-10,2.529,
2012-01,2.803,
2012-04,1.826,
2012-07,1.923,
2012-10,2.271,
2013-01,2.320,
2013-04,1.902,
2013-07,1.476,
2013-10,1.422,
2014-01,1.520,
2014-04,1.375,
2014-07,1.357,
