"",BBK01.CEF00J,BBK01.CEF00J_FLAGS
"",Total financial assets                     debtor: Total                   creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:18,
1999-01,3151.1,
1999-04,3176.2,
1999-07,3144.5,
1999-10,3325.5,
2000-01,3400.4,
2000-04,3373.2,
2000-07,3392.9,
2000-10,3400.6,
2001-01,3371.1,
2001-04,3398.0,
2001-07,3320.8,
2001-10,3493.7,
2002-01,3531.5,
2002-04,3488.9,
2002-07,3397.6,
2002-10,3448.3,
2003-01,3469.7,
2003-04,3562.4,
2003-07,3588.6,
2003-10,3666.6,
2004-01,3717.5,
2004-04,3751.0,
2004-07,3772.3,
2004-10,3826.9,
2005-01,3883.3,
2005-04,3938.3,
2005-07,4000.8,
2005-10,4055.2,
2006-01,3989.2,
2006-04,3978.3,
2006-07,3993.7,
2006-10,4063.7,
2007-01,4140.6,
2007-04,4208.9,
2007-07,4229.3,
2007-10,4282.4,
2008-01,4206.5,
2008-04,4202.2,
2008-07,4157.7,
2008-10,4091.5,
2009-01,4053.8,
2009-04,4120.0,
2009-07,4188.0,
2009-10,4251.6,
2010-01,4299.9,
2010-04,4319.2,
2010-07,4336.5,
2010-10,4421.3,
2011-01,4442.7,
2011-04,4467.7,
2011-07,4402.8,
2011-10,4462.8,
2012-01,4544.2,
2012-04,4552.7,
2012-07,4616.8,
2012-10,4674.2,
2013-01,4722.6,
2013-04,4742.2,
2013-07,4791.5,
2013-10,4871.2,
2014-01,4925.7,
2014-04,4982.9,
2014-07,5011.0,
