"",BBK01.OEAH32T,BBK01.OEAH32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:50,
2002-01,1.101,
2002-04,1.074,
2002-07,0.979,
2002-10,0.985,
2003-01,0.907,
2003-04,0.829,
2003-07,0.782,
2003-10,0.888,
2004-01,0.818,
2004-04,0.732,
2004-07,0.760,
2004-10,0.905,
2005-01,0.833,
2005-04,0.791,
2005-07,0.886,
2005-10,0.901,
2006-01,0.856,
2006-04,0.846,
2006-07,0.922,
2006-10,1.126,
2007-01,1.054,
2007-04,1.062,
2007-07,1.180,
2007-10,1.242,
2008-01,1.332,
2008-04,1.321,
2008-07,1.551,
2008-10,1.629,
2009-01,1.133,
2009-04,0.834,
2009-07,0.764,
2009-10,0.654,
2010-01,0.648,
2010-04,0.672,
2010-07,0.675,
2010-10,0.745,
2011-01,0.748,
2011-04,0.767,
2011-07,0.888,
2011-10,1.077,
2012-01,1.003,
2012-04,0.998,
2012-07,1.028,
2012-10,1.046,
2013-01,1.363,
2013-04,0.950,
2013-07,0.919,
2013-10,0.890,
2014-01,0.850,
2014-04,0.893,
2014-07,0.794,
