"",BBSF2.M.1.S.I0003.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0003.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Supplementary pension funds for government employees and churches / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:58,
2009-09,52,
2009-10,121,
2009-11,-,Nothing exists
2009-12,221,
2010-01,389,
2010-02,8,
2010-03,-,Nothing exists
2010-04,158,
2010-05,-,Nothing exists
2010-06,41,
2010-07,-,Nothing exists
2010-08,27,
2010-09,321,
2010-10,-,Nothing exists
2010-11,73,
2010-12,171,
2011-01,194,
2011-02,-,Nothing exists
2011-03,45,
2011-04,263,
2011-05,343,
2011-06,263,
2011-07,31,
2011-08,37,
2011-09,10,
2011-10,1,
2011-11,30,
2011-12,173,
2012-01,1197,
2012-02,48,
2012-03,13,
2012-04,1,
2012-05,51,
2012-06,138,
2012-07,25,
2012-08,176,
2012-09,147,
2012-10,172,
2012-11,316,
2012-12,1378,
2013-01,315,
2013-02,151,
2013-03,87,
2013-04,122,
2013-05,65,
2013-06,0,
2013-07,47,
2013-08,7,
2013-09,9,
2013-10,3,
2013-11,94,
2013-12,199,
2014-01,177,
2014-02,85,
2014-03,14,
2014-04,12,
2014-05,62,
2014-06,2,
2014-07,542,
2014-08,121,
2014-09,203,
2014-10,0,
2014-11,1318,
