"",BBK01.OEXL04N,BBK01.OEXL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:08,
2002-01,8.414,
2002-04,7.961,
2002-07,7.755,
2002-10,7.423,
2003-01,7.059,
2003-04,6.709,
2003-07,6.167,
2003-10,5.932,
2004-01,5.438,
2004-04,4.768,
2004-07,4.559,
2004-10,1.975,
2005-01,2.000,
2005-04,1.977,
2005-07,2.038,
2005-10,2.234,
2006-01,2.214,
2006-04,2.170,
2006-07,2.557,
2006-10,3.049,
2007-01,3.243,
2007-04,3.315,
2007-07,3.624,
2007-10,4.260,
2008-01,4.667,
2008-04,5.217,
2008-07,5.739,
2008-10,6.378,
2009-01,5.247,
2009-04,4.466,
2009-07,3.400,
2009-10,2.780,
2010-01,2.984,
2010-04,2.985,
2010-07,2.585,
2010-10,2.500,
2011-01,2.836,
2011-04,2.979,
2011-07,3.042,
2011-10,3.261,
2012-01,3.634,
2012-04,3.523,
2012-07,3.249,
2012-10,2.865,
2013-01,2.700,
2013-04,2.795,
2013-07,2.940,
2013-10,3.351,
2014-01,3.734,
2014-04,3.966,
2014-07,3.953,
