"",BBK01.OEYM03S,BBK01.OEYM03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:47,
2002-01,1.381,
2002-04,1.377,
2002-07,1.358,
2002-10,1.457,
2003-01,1.438,
2003-04,1.418,
2003-07,1.404,
2003-10,1.501,
2004-01,1.478,
2004-04,1.460,
2004-07,1.448,
2004-10,0.070,
2005-01,0.079,
2005-04,0.080,
2005-07,0.074,
2005-10,0.078,
2006-01,0.099,
2006-04,0.085,
2006-07,0.120,
2006-10,0.061,
2007-01,0.072,
2007-04,0.089,
2007-07,0.105,
2007-10,0.059,
2008-01,0.076,
2008-04,0.053,
2008-07,0.110,
2008-10,0.054,
2009-01,0.218,
2009-04,0.093,
2009-07,0.178,
2009-10,0.130,
2010-01,0.083,
2010-04,0.192,
2010-07,0.293,
2010-10,0.100,
2011-01,0.145,
2011-04,0.102,
2011-07,0.098,
2011-10,0.099,
2012-01,0.082,
2012-04,0.084,
2012-07,0.180,
2012-10,0.080,
2013-01,0.077,
2013-04,0.079,
2013-07,0.080,
2013-10,0.080,
2014-01,0.079,
2014-04,0.079,
2014-07,0.082,
