"",BBK01.OEAH52Q,BBK01.OEAH52Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:16,
2002-01,0.077,
2002-04,0.078,
2002-07,0.075,
2002-10,0.074,
2003-01,0.073,
2003-04,0.072,
2003-07,0.070,
2003-10,0.073,
2004-01,0.073,
2004-04,0.072,
2004-07,0.072,
2004-10,0.071,
2005-01,0.066,
2005-04,0.062,
2005-07,0.060,
2005-10,0.058,
2006-01,0.058,
2006-04,0.057,
2006-07,0.056,
2006-10,0.055,
2007-01,0.054,
2007-04,0.051,
2007-07,0.050,
2007-10,0.049,
2008-01,0.049,
2008-04,0.049,
2008-07,0.049,
2008-10,0.049,
2009-01,0.045,
2009-04,0.043,
2009-07,0.042,
2009-10,0.045,
2010-01,0.049,
2010-04,0.052,
2010-07,0.057,
2010-10,0.059,
2011-01,0.055,
2011-04,0.058,
2011-07,0.061,
2011-10,0.062,
2012-01,0.059,
2012-04,0.057,
2012-07,0.056,
2012-10,0.050,
2013-01,0.046,
2013-04,0.044,
2013-07,0.041,
2013-10,0.038,
2014-01,0.036,
2014-04,0.035,
2014-07,0.033,
