"",BBK01.OEHM03S,BBK01.OEHM03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:41,
2002-01,0.348,
2002-04,0.346,
2002-07,0.329,
2002-10,0.271,
2003-01,0.267,
2003-04,0.261,
2003-07,0.230,
2003-10,0.196,
2004-01,0.201,
2004-04,0.196,
2004-07,0.224,
2004-10,0.222,
2005-01,0.238,
2005-04,0.331,
2005-07,0.303,
2005-10,0.251,
2006-01,0.253,
2006-04,0.286,
2006-07,0.289,
2006-10,0.260,
2007-01,0.338,
2007-04,0.402,
2007-07,0.416,
2007-10,0.431,
2008-01,0.455,
2008-04,0.528,
2008-07,0.518,
2008-10,0.479,
2009-01,0.447,
2009-04,0.355,
2009-07,0.289,
2009-10,0.270,
2010-01,0.223,
2010-04,0.203,
2010-07,0.249,
2010-10,0.281,
2011-01,0.305,
2011-04,0.325,
2011-07,0.324,
2011-10,0.367,
2012-01,0.355,
2012-04,0.344,
2012-07,0.257,
2012-10,0.330,
2013-01,0.248,
2013-04,0.269,
2013-07,0.277,
2013-10,0.255,
2014-01,0.303,
2014-04,0.292,
2014-07,0.257,
