"",BBK01.OECB17P,BBK01.OECB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:17,
2002-01,0.705,
2002-04,0.696,
2002-07,0.695,
2002-10,0.680,
2003-01,0.668,
2003-04,0.661,
2003-07,0.669,
2003-10,0.663,
2004-01,0.653,
2004-04,0.659,
2004-07,0.659,
2004-10,0.649,
2005-01,0.761,
2005-04,0.759,
2005-07,0.767,
2005-10,0.766,
2006-01,0.762,
2006-04,0.759,
2006-07,0.759,
2006-10,0.757,
2007-01,0.754,
2007-04,0.776,
2007-07,0.766,
2007-10,0.771,
2008-01,0.760,
2008-04,0.741,
2008-07,0.739,
2008-10,0.719,
2009-01,0.710,
2009-04,1.022,
2009-07,1.007,
2009-10,0.992,
2010-01,0.988,
2010-04,0.982,
2010-07,0.838,
2010-10,0.836,
2011-01,0.907,
2011-04,0.895,
2011-07,0.884,
2011-10,0.873,
2012-01,0.867,
2012-04,0.864,
2012-07,0.858,
2012-10,0.851,
2013-01,0.851,
2013-04,0.836,
2013-07,0.829,
2013-10,0.838,
2014-01,0.832,
2014-04,0.825,
2014-07,0.828,
