"",BBK01.OEYJ03M,BBK01.OEYJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:44,
2002-01,19.574,
2002-04,19.898,
2002-07,20.140,
2002-10,21.606,
2003-01,21.481,
2003-04,21.799,
2003-07,23.060,
2003-10,19.505,
2004-01,20.355,
2004-04,22.490,
2004-07,23.588,
2004-10,24.542,
2005-01,25.355,
2005-04,26.539,
2005-07,26.784,
2005-10,27.139,
2006-01,27.848,
2006-04,28.633,
2006-07,29.701,
2006-10,28.999,
2007-01,30.650,
2007-04,30.346,
2007-07,31.161,
2007-10,32.771,
2008-01,33.950,
2008-04,34.042,
2008-07,35.149,
2008-10,35.908,
2009-01,36.981,
2009-04,38.164,
2009-07,39.958,
2009-10,36.512,
2010-01,37.413,
2010-04,35.402,
2010-07,37.579,
2010-10,35.293,
2011-01,37.180,
2011-04,35.837,
2011-07,36.094,
2011-10,35.825,
2012-01,36.861,
2012-04,37.706,
2012-07,33.887,
2012-10,35.493,
2013-01,32.235,
2013-04,31.892,
2013-07,29.276,
2013-10,29.124,
2014-01,28.655,
2014-04,27.554,
2014-07,27.894,
