"",BBK01.OEHB13T,BBK01.OEHB13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:24,
2002-01,2.242,
2002-04,2.248,
2002-07,2.250,
2002-10,2.251,
2003-01,2.212,
2003-04,2.215,
2003-07,2.218,
2003-10,2.220,
2004-01,2.185,
2004-04,2.185,
2004-07,2.166,
2004-10,2.145,
2005-01,2.109,
2005-04,2.072,
2005-07,2.049,
2005-10,2.019,
2006-01,2.006,
2006-04,1.968,
2006-07,1.934,
2006-10,1.886,
2007-01,1.856,
2007-04,1.836,
2007-07,1.802,
2007-10,1.790,
2008-01,1.784,
2008-04,1.763,
2008-07,1.746,
2008-10,1.726,
2009-01,1.722,
2009-04,1.728,
2009-07,1.700,
2009-10,1.699,
2010-01,1.695,
2010-04,1.690,
2010-07,1.682,
2010-10,1.678,
2011-01,1.675,
2011-04,1.675,
2011-07,1.667,
2011-10,1.662,
2012-01,1.657,
2012-04,1.681,
2012-07,1.686,
2012-10,1.687,
2013-01,1.690,
2013-04,1.687,
2013-07,1.700,
2013-10,1.698,
2014-01,1.706,
2014-04,1.716,
2014-07,1.721,
