"",BBK01.OEAE34S,BBK01.OEAE34S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:00,
2002-01,0.617,
2002-04,0.623,
2002-07,0.619,
2002-10,0.514,
2003-01,0.514,
2003-04,0.514,
2003-07,0.513,
2003-10,0.525,
2004-01,0.523,
2004-04,0.517,
2004-07,0.523,
2004-10,0.473,
2005-01,0.522,
2005-04,0.528,
2005-07,0.524,
2005-10,0.531,
2006-01,0.540,
2006-04,0.551,
2006-07,0.579,
2006-10,0.596,
2007-01,0.596,
2007-04,0.602,
2007-07,0.585,
2007-10,0.615,
2008-01,0.611,
2008-04,0.619,
2008-07,0.619,
2008-10,0.623,
2009-01,0.608,
2009-04,0.658,
2009-07,0.660,
2009-10,0.642,
2010-01,0.679,
2010-04,0.671,
2010-07,0.686,
2010-10,0.689,
2011-01,0.676,
2011-04,0.690,
2011-07,0.689,
2011-10,0.686,
2012-01,0.682,
2012-04,1.020,
2012-07,1.032,
2012-10,1.059,
2013-01,1.059,
2013-04,1.055,
2013-07,1.076,
2013-10,1.087,
2014-01,1.078,
2014-04,1.075,
2014-07,1.071,
