"",BBK01.OEAB09J,BBK01.OEAB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:50,
2002-01,9.147,
2002-04,9.341,
2002-07,9.445,
2002-10,9.382,
2003-01,9.494,
2003-04,9.404,
2003-07,9.333,
2003-10,9.048,
2004-01,9.105,
2004-04,9.286,
2004-07,9.193,
2004-10,9.533,
2005-01,9.418,
2005-04,9.643,
2005-07,9.726,
2005-10,10.007,
2006-01,10.323,
2006-04,10.356,
2006-07,10.427,
2006-10,9.068,
2007-01,9.361,
2007-04,9.579,
2007-07,9.936,
2007-10,10.063,
2008-01,10.221,
2008-04,10.685,
2008-07,10.856,
2008-10,10.849,
2009-01,10.871,
2009-04,10.964,
2009-07,11.007,
2009-10,11.023,
2010-01,11.078,
2010-04,14.596,
2010-07,14.210,
2010-10,14.679,
2011-01,14.634,
2011-04,14.498,
2011-07,14.619,
2011-10,14.834,
2012-01,14.324,
2012-04,15.216,
2012-07,15.438,
2012-10,15.313,
2013-01,15.341,
2013-04,15.149,
2013-07,15.519,
2013-10,15.343,
2014-01,15.274,
2014-04,15.238,
2014-07,15.159,
