"",BBK01.OEAC12S,BBK01.OEAC12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:52,
2002-01,4.122,
2002-04,4.123,
2002-07,4.115,
2002-10,4.094,
2003-01,4.061,
2003-04,4.085,
2003-07,4.893,
2003-10,4.903,
2004-01,4.669,
2004-04,4.718,
2004-07,4.860,
2004-10,3.404,
2005-01,3.499,
2005-04,3.536,
2005-07,3.518,
2005-10,3.505,
2006-01,3.537,
2006-04,3.546,
2006-07,3.568,
2006-10,3.568,
2007-01,3.560,
2007-04,3.535,
2007-07,3.599,
2007-10,3.358,
2008-01,3.392,
2008-04,3.448,
2008-07,3.523,
2008-10,3.521,
2009-01,3.518,
2009-04,3.646,
2009-07,3.652,
2009-10,3.534,
2010-01,3.764,
2010-04,3.747,
2010-07,3.806,
2010-10,3.762,
2011-01,3.802,
2011-04,3.832,
2011-07,3.890,
2011-10,3.932,
2012-01,3.923,
2012-04,3.994,
2012-07,4.044,
2012-10,4.104,
2013-01,4.147,
2013-04,4.183,
2013-07,4.185,
2013-10,4.222,
2014-01,4.249,
2014-04,4.308,
2014-07,4.348,
