"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:09,
1991-01,30.329,
1991-04,-26.932,
1991-07,58.225,
1991-10,5.704,
1992-01,-24.643,
1992-04,-17.682,
1992-07,6.149,
1992-10,35.435,
1993-01,5.121,
1993-04,-9.376,
1993-07,71.663,
1993-10,-13.481,
1994-01,75.258,
1994-04,13.158,
1994-07,-35.437,
1994-10,49.340,
1995-01,345.971,
1995-04,-125.800,
1995-07,409.057,
1995-10,-245.027,
1996-01,-96.446,
1996-04,128.767,
1996-07,-146.999,
1996-10,-19.035,
1997-01,22.310,
1997-04,253.299,
1997-07,69.988,
1997-10,118.676,
1998-01,-133.990,
1998-04,-277.793,
1998-07,-246.710,
1998-10,1.958,
1999-01,-96.572,
1999-04,-157.876,
1999-07,-74.359,
1999-10,-6.585,
2000-01,-103.252,
2000-04,-184.418,
2000-07,243.932,
2000-10,738.487,
2001-01,655.517,
2001-04,-975.921,
2001-07,-388.897,
2001-10,990.762,
2002-01,-90.199,
2002-04,-897.466,
2002-07,80.000,
2002-10,80.592,
2003-01,32.697,
2003-04,123.403,
2003-07,371.363,
2003-10,-182.146,
2004-01,-65.384,
2004-04,48.660,
2004-07,254.895,
2004-10,-225.242,
2005-01,52.063,
2005-04,-19.964,
2005-07,94.553,
2005-10,207.135,
2006-01,63.544,
2006-04,-335.861,
2006-07,345.196,
2006-10,-103.197,
2007-01,140.493,
2007-04,-150.367,
2007-07,144.505,
2007-10,212.330,
2008-01,-153.666,
2008-04,34.679,
2008-07,-1.108,
2008-10,55.493,
2009-01,1090.472,
2009-04,-956.943,
2009-07,910.701,
2009-10,-629.182,
2010-01,-143.271,
2010-04,198.980,
2010-07,-4.006,
2010-10,630.966,
2011-01,-110.900,
2011-04,-586.505,
2011-07,772.135,
2011-10,-682.566,
2012-01,254.920,
2012-04,-110.636,
2012-07,1529.127,
2012-10,-176.901,
2013-01,-609.251,
2013-04,518.388,
2013-07,-258.318,
2013-10,-84.356,
2014-01,245.993,Provisional value
2014-04,12.845,Provisional value
2014-07,-398.451,Provisional value
2014-10,-546.148,Provisional value
