"",BBAI3.Q.DE.N.V.LE.F331.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:50,
2005-10,7,
2006-01,2,
2006-04,2,
2006-07,2,
2006-10,4,
2007-01,5,
2007-04,7,
2007-07,3,
2007-10,7,
2008-01,6,
2008-04,5,
2008-07,5,
2008-10,8,
2009-01,4,
2009-04,5,
2009-07,3,
2009-10,6,
2010-01,3,
2010-04,4,
2010-07,5,
2010-10,8,
2011-01,4,
2011-04,4,
2011-07,6,
2011-10,6,
2012-01,6,
2012-04,6,
2012-07,8,
2012-10,8,
2013-01,8,
2013-04,6,
2013-07,5,
2013-10,6,
2014-01,7,
2014-04,5,
2014-07,4,
