"",BBK01.OEBI04M,BBK01.OEBI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:33,
2002-01,5.683,
2002-04,5.538,
2002-07,5.766,
2002-10,5.988,
2003-01,5.558,
2003-04,5.273,
2003-07,4.611,
2003-10,4.294,
2004-01,4.104,
2004-04,3.647,
2004-07,3.595,
2004-10,3.912,
2005-01,3.740,
2005-04,4.037,
2005-07,3.853,
2005-10,4.595,
2006-01,4.643,
2006-04,4.819,
2006-07,4.860,
2006-10,5.256,
2007-01,5.584,
2007-04,5.708,
2007-07,6.545,
2007-10,7.277,
2008-01,8.392,
2008-04,8.802,
2008-07,10.161,
2008-10,11.599,
2009-01,10.293,
2009-04,9.802,
2009-07,7.912,
2009-10,5.728,
2010-01,4.438,
2010-04,3.894,
2010-07,3.203,
2010-10,4.459,
2011-01,4.071,
2011-04,4.339,
2011-07,4.623,
2011-10,5.442,
2012-01,6.067,
2012-04,6.274,
2012-07,6.922,
2012-10,6.376,
2013-01,6.585,
2013-04,6.163,
2013-07,5.845,
2013-10,5.294,
2014-01,5.600,
2014-04,6.896,
2014-07,6.555,
