"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:42,
1991-01,-5.246,
1991-04,-11.543,
1991-07,-15.866,
1991-10,-8.528,
1992-01,22.342,
1992-04,8.485,
1992-07,-0.800,
1992-10,394.356,
1993-01,-48.460,
1993-04,87.049,
1993-07,2.096,
1993-10,169.862,
1994-01,33.596,
1994-04,31.645,
1994-07,-4.203,
1994-10,-0.931,
1995-01,3.356,
1995-04,0.396,
1995-07,-6.925,
1995-10,6.316,
1996-01,8.567,
1996-04,14.919,
1996-07,2.789,
1996-10,-3.596,
1997-01,-16.597,
1997-04,11.521,
1997-07,7.422,
1997-10,3.126,
1998-01,-2.064,
1998-04,2.672,
1998-07,0.235,
1998-10,5.629,
1999-01,-9.086,
1999-04,-6.269,
1999-07,1.847,
1999-10,-1.221,
2000-01,2.232,
2000-04,4.021,
2000-07,2.338,
2000-10,8.015,
2001-01,10.092,
2001-04,-4.057,
2001-07,0.330,
2001-10,6.535,
2002-01,3.805,
2002-04,0.533,
2002-07,-5.418,
2002-10,-6.626,
2003-01,-4.352,
2003-04,13.826,
2003-07,4.516,
2003-10,3.482,
2004-01,1.959,
2004-04,25.171,
2004-07,3.584,
2004-10,6.602,
2005-01,4.435,
2005-04,9.409,
2005-07,-3.991,
2005-10,0.911,
2006-01,-1.187,
2006-04,5.348,
2006-07,-0.358,
2006-10,-4.062,
2007-01,4.697,
2007-04,6.782,
2007-07,3.268,
2007-10,1.380,
2008-01,15.793,
2008-04,-57.663,
2008-07,-59.184,
2008-10,-156.152,
2009-01,-8.417,
2009-04,-88.078,
2009-07,-22.087,
2009-10,5.877,
2010-01,67.472,
2010-04,-215.375,
2010-07,43.297,
2010-10,59.701,
2011-01,138.924,
2011-04,37.437,
2011-07,67.717,
2011-10,-77.019,
2012-01,80.364,
2012-04,10.698,
2012-07,-53.084,
2012-10,-102.924,
2013-01,149.549,
2013-04,87.296,
2013-07,79.760,
2013-10,-157.326,
2014-01,101.312,Provisional value
2014-04,-59.162,Provisional value
2014-07,21.278,Provisional value
2014-10,-46.667,Provisional value
