"",BBFN1.M.DE.N.1.A.U2.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:38,
1995-01,0.310,
1995-02,0.371,
1995-03,0.389,
1995-04,0.382,
1995-05,0.397,
1995-06,0.302,
1995-07,0.283,
1995-08,0.306,
1995-09,0.324,
1995-10,0.316,
1995-11,0.354,
1995-12,0.312,
1996-01,0.286,
1996-02,0.318,
1996-03,0.336,
1996-04,0.341,
1996-05,0.357,
1996-06,0.233,
1996-07,0.251,
1996-08,0.278,
1996-09,0.287,
1996-10,0.302,
1996-11,0.321,
1996-12,0.392,
1997-01,0.390,
1997-02,0.419,
1997-03,0.419,
1997-04,0.426,
1997-05,0.455,
1997-06,0.358,
1997-07,0.391,
1997-08,0.405,
1997-09,0.404,
1997-10,0.429,
1997-11,0.514,
1997-12,0.489,
1998-01,0.488,
1998-02,0.551,
1998-03,0.468,
1998-04,0.590,
1998-05,0.524,
1998-06,0.415,
1998-07,0.450,
1998-08,0.521,
1998-09,0.560,
1998-10,0.551,
1998-11,0.581,
1998-12,0.564,
1999-01,0.655,
1999-02,0.643,
1999-03,0.626,
1999-04,0.590,
1999-05,0.675,
1999-06,0.550,
1999-07,0.471,
1999-08,0.499,
1999-09,0.407,
1999-10,0.472,
1999-11,0.467,
1999-12,0.471,
2000-01,0.482,
2000-02,0.502,
2000-03,0.486,
2000-04,0.489,
2000-05,0.489,
2000-06,0.420,
2000-07,0.484,
2000-08,0.541,
2000-09,0.557,
2000-10,0.543,
2000-11,0.593,
2000-12,0.510,
2001-01,0.563,
2001-02,0.569,
2001-03,0.597,
2001-04,0.566,
2001-05,0.574,
2001-06,0.614,
2001-07,0.640,
2001-08,0.659,
2001-09,0.658,
2001-10,0.647,
2001-11,0.643,
2001-12,0.854,
2002-01,1.004,
2002-02,0.835,
2002-03,0.807,
2002-04,0.821,
2002-05,0.851,
2002-06,0.926,
2002-07,1.020,
2002-08,0.984,
2002-09,0.853,
2002-10,1.098,
2002-11,0.710,
2002-12,0.611,
2003-01,0.657,
2003-02,0.662,
2003-03,0.709,
2003-04,0.685,
2003-05,0.690,
2003-06,0.668,
2003-07,0.832,
2003-08,0.699,
2003-09,0.679,
2003-10,0.785,
2003-11,0.639,
2003-12,0.640,
2004-01,0.637,
2004-02,0.921,
2004-03,0.609,
2004-04,0.633,
2004-05,0.638,
2004-06,0.669,
2004-07,0.701,
2004-08,0.724,
2004-09,0.731,
2004-10,0.705,
2004-11,0.707,
2004-12,0.681,
2005-01,0.718,
2005-02,0.710,
2005-03,0.718,
2005-04,0.694,
2005-05,0.679,
2005-06,0.654,
2005-07,0.750,
2005-08,0.755,
2005-09,0.773,
2005-10,0.782,
2005-11,0.800,
2005-12,0.744,
2006-01,0.745,
2006-02,0.748,
2006-03,0.746,
2006-04,0.775,
2006-05,0.779,
2006-06,0.764,
2006-07,0.814,
2006-08,0.832,
2006-09,0.787,
2006-10,0.849,
2006-11,0.835,
2006-12,0.790,
2007-01,0.879,
2007-02,0.858,
2007-03,0.884,
2007-04,0.938,
2007-05,0.947,
2007-06,0.944,
2007-07,0.973,
2007-08,0.991,
2007-09,0.938,
2007-10,1.034,
2007-11,1.031,
2007-12,1.006,
2008-01,1.074,
2008-02,1.040,
2008-03,1.007,
2008-04,1.091,
2008-05,1.122,
2008-06,1.074,
2008-07,1.172,
2008-08,1.174,
2008-09,1.128,
2008-10,1.172,
2008-11,1.160,
2008-12,1.081,
2009-01,1.135,
2009-02,1.140,
2009-03,1.142,
2009-04,1.139,
2009-05,1.172,
2009-06,1.171,
2009-07,1.194,
2009-08,1.237,
2009-09,1.247,
2009-10,1.449,
2009-11,1.428,
2009-12,1.335,
2010-01,1.350,
2010-02,1.332,
2010-03,1.334,
2010-04,1.351,
2010-05,1.384,
2010-06,1.411,
2010-07,1.404,
2010-08,1.437,
2010-09,1.475,
2010-10,1.573,
2010-11,1.605,
2010-12,1.570,
2011-01,2.428,
2011-02,2.413,
2011-03,2.451,
2011-04,2.455,
2011-05,2.480,
2011-06,2.467,
2011-07,2.493,
2011-08,2.396,
2011-09,2.388,
2011-10,2.406,
2011-11,2.190,
2011-12,2.191,
2012-01,2.228,
2012-02,2.176,
2012-03,2.114,
2012-04,2.070,
2012-05,2.111,
2012-06,2.162,
2012-07,2.209,
2012-08,2.240,
2012-09,2.316,
2012-10,2.302,
2012-11,2.336,
2012-12,2.211,
2013-01,2.286,
2013-02,2.276,
2013-03,2.296,
2013-04,2.318,
2013-05,2.351,
2013-06,2.232,
2013-07,2.219,
2013-08,2.276,
2013-09,2.272,
2013-10,2.338,
2013-11,2.360,
2013-12,2.378,
2014-01,2.391,
2014-02,2.282,
2014-03,2.272,
2014-04,2.271,
2014-05,2.267,
2014-06,2.203,
2014-07,2.194,
2014-08,2.213,
2014-09,2.171,
2014-10,2.221,
2014-11,2.218,
2014-12,2.173,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
