"",BBAI3.Q.DE.N.V.LE.F29AAA.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:42,
2005-10,6308,
2006-01,6579,
2006-04,6222,
2006-07,6367,
2006-10,7927,
2007-01,7633,
2007-04,7569,
2007-07,6719,
2007-10,8258,
2008-01,9607,
2008-04,8635,
2008-07,8095,
2008-10,9570,
2009-01,11083,
2009-04,8999,
2009-07,9541,
2009-10,10140,
2010-01,9597,
2010-04,9288,
2010-07,8504,
2010-10,8603,
2011-01,9507,
2011-04,10031,
2011-07,11163,
2011-10,11565,
2012-01,11882,
2012-04,11759,
2012-07,11546,
2012-10,12320,
2013-01,12501,
2013-04,11363,
2013-07,10706,
2013-10,10470,
2014-01,13048,
2014-04,13249,
2014-07,11999,
