"",BBK01.OEAL09V,BBK01.OEAL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:51,
2002-01,4.133,
2002-04,4.047,
2002-07,4.089,
2002-10,4.089,
2003-01,3.897,
2003-04,3.550,
2003-07,3.296,
2003-10,3.269,
2004-01,3.060,
2004-04,2.802,
2004-07,2.812,
2004-10,3.053,
2005-01,3.265,
2005-04,3.311,
2005-07,3.153,
2005-10,3.137,
2006-01,3.113,
2006-04,3.278,
2006-07,3.404,
2006-10,3.713,
2007-01,3.981,
2007-04,4.000,
2007-07,4.301,
2007-10,4.573,
2008-01,4.502,
2008-04,4.396,
2008-07,4.396,
2008-10,4.887,
2009-01,4.774,
2009-04,4.755,
2009-07,4.542,
2009-10,4.402,
2010-01,4.201,
2010-04,4.028,
2010-07,3.737,
2010-10,3.648,
2011-01,3.740,
2011-04,3.676,
2011-07,3.555,
2011-10,3.408,
2012-01,3.238,
2012-04,3.086,
2012-07,2.910,
2012-10,2.651,
2013-01,2.379,
2013-04,2.111,
2013-07,1.925,
2013-10,1.856,
2014-01,1.779,
2014-04,1.770,
2014-07,1.867,
