"",BBDA1.M.DE.Y.IM.S.A.G4.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.G4.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Other European countries (not EU ) / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:32,
1993-01,2.29,
1993-02,2.30,
1993-03,2.06,
1993-04,2.39,
1993-05,2.14,
1993-06,2.16,
1993-07,2.26,
1993-08,2.31,
1993-09,2.08,
1993-10,2.23,
1993-11,2.33,
1993-12,2.20,
1994-01,2.37,
1994-02,2.38,
1994-03,2.36,
1994-04,2.35,
1994-05,2.56,
1994-06,2.54,
1994-07,2.62,
1994-08,2.57,
1994-09,2.55,
1994-10,2.55,
1994-11,2.71,
1994-12,2.72,
1995-01,2.51,
1995-02,2.66,
1995-03,2.75,
1995-04,2.67,
1995-05,2.78,
1995-06,2.70,
1995-07,2.69,
1995-08,2.61,
1995-09,2.67,
1995-10,2.76,
1995-11,2.73,
1995-12,2.73,
1996-01,2.61,
1996-02,2.75,
1996-03,2.69,
1996-04,2.80,
1996-05,2.84,
1996-06,3.05,
1996-07,2.87,
1996-08,2.79,
1996-09,3.00,
1996-10,3.14,
1996-11,2.95,
1996-12,3.11,
1997-01,3.37,
1997-02,2.98,
1997-03,3.23,
1997-04,3.13,
1997-05,3.22,
1997-06,3.29,
1997-07,3.21,
1997-08,3.44,
1997-09,3.31,
1997-10,3.37,
1997-11,3.29,
1997-12,3.29,
1998-01,3.38,
1998-02,3.19,
1998-03,3.49,
1998-04,3.19,
1998-05,3.30,
1998-06,3.33,
1998-07,3.39,
1998-08,3.13,
1998-09,3.27,
1998-10,3.12,
1998-11,2.88,
1998-12,3.05,
1999-01,3.10,
1999-02,3.04,
1999-03,3.20,
1999-04,3.20,
1999-05,3.12,
1999-06,3.20,
1999-07,3.32,
1999-08,3.30,
1999-09,3.40,
1999-10,3.61,
1999-11,3.59,
1999-12,3.69,
2000-01,4.00,
2000-02,3.88,
2000-03,4.06,
2000-04,4.14,
2000-05,4.39,
2000-06,4.17,
2000-07,4.63,
2000-08,4.60,
2000-09,4.74,
2000-10,4.36,
2000-11,4.99,
2000-12,4.89,
2001-01,4.78,
2001-02,4.83,
2001-03,4.49,
2001-04,4.79,
2001-05,4.60,
2001-06,4.60,
2001-07,4.99,
2001-08,4.36,
2001-09,4.51,
2001-10,4.49,
2001-11,4.66,
2001-12,4.38,
2002-01,4.28,
2002-02,4.32,
2002-03,4.33,
2002-04,4.92,
2002-05,4.54,
2002-06,4.56,
2002-07,4.24,
2002-08,4.54,
2002-09,4.46,
2002-10,4.89,
2002-11,4.58,
2002-12,4.72,
2003-01,4.78,
2003-02,4.98,
2003-03,4.89,
2003-04,4.31,
2003-05,5.56,
2003-06,4.64,
2003-07,4.35,
2003-08,4.94,
2003-09,4.18,
2003-10,4.63,
2003-11,5.08,
2003-12,4.80,
2004-01,4.55,
2004-02,4.71,
2004-03,4.49,
2004-04,4.94,
2004-05,4.79,
2004-06,5.18,
2004-07,5.16,
2004-08,5.10,
2004-09,5.63,
2004-10,5.31,
2004-11,5.73,
2004-12,5.56,
2005-01,5.68,
2005-02,5.44,
2005-03,5.35,
2005-04,5.74,
2005-05,5.89,
2005-06,5.76,
2005-07,5.61,
2005-08,6.69,
2005-09,5.91,
2005-10,6.73,
2005-11,6.08,
2005-12,6.67,
2006-01,7.02,
2006-02,7.22,
2006-03,7.24,
2006-04,7.47,
2006-05,7.49,
2006-06,7.46,
2006-07,7.43,
2006-08,7.83,
2006-09,7.71,
2006-10,7.05,
2006-11,6.98,
2006-12,7.26,
2007-01,7.14,
2007-02,7.56,
2007-03,7.31,
2007-04,7.80,
2007-05,6.84,
2007-06,7.52,
2007-07,7.58,
2007-08,7.68,
2007-09,7.44,
2007-10,7.62,
2007-11,8.46,
2007-12,8.61,
2008-01,8.49,
2008-02,8.71,
2008-03,8.65,
2008-04,8.49,
2008-05,8.59,
2008-06,8.58,
2008-07,10.16,
2008-08,8.84,
2008-09,9.29,
2008-10,8.78,
2008-11,9.18,
2008-12,7.45,
2009-01,7.53,
2009-02,6.93,
2009-03,7.34,
2009-04,6.53,
2009-05,6.50,
2009-06,6.62,
2009-07,6.75,
2009-08,6.78,
2009-09,7.40,
2009-10,7.09,
2009-11,6.57,
2009-12,6.62,
2010-01,7.07,
2010-02,6.93,
2010-03,8.04,
2010-04,7.59,
2010-05,8.81,
2010-06,8.63,
2010-07,8.28,
2010-08,8.18,
2010-09,7.25,
2010-10,8.76,
2010-11,8.48,
2010-12,8.24,
2011-01,9.15,
2011-02,9.20,
2011-03,9.56,
2011-04,9.38,
2011-05,9.59,
2011-06,8.61,
2011-07,10.76,
2011-08,9.91,
2011-09,9.53,
2011-10,10.33,
2011-11,10.05,
2011-12,10.25,
2012-01,10.15,
2012-02,10.28,
2012-03,10.81,
2012-04,10.35,
2012-05,10.43,
2012-06,10.28,
2012-07,10.30,
2012-08,9.96,
2012-09,10.64,
2012-10,12.49,
2012-11,9.71,
2012-12,9.62,
2013-01,9.90,
2013-02,9.90,
2013-03,9.80,
2013-04,9.80,
2013-05,9.87,
2013-06,10.52,
2013-07,10.15,
2013-08,10.90,
2013-09,9.80,
2013-10,9.94,
2013-11,10.67,
2013-12,9.47,
2014-01,10.51,
2014-02,10.06,
2014-03,9.65,
2014-04,9.91,
2014-05,9.69,
2014-06,9.69,
2014-07,9.36,
2014-08,9.63,
2014-09,9.32,
2014-10,9.86,
2014-11,10.39,
2014-12,9.21,
