"",BBK01.CEL009,BBK01.CEL009_FLAGS
"",Total                                                         debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:05,
1999-01,25.4,
1999-04,24.3,
1999-07,19.8,
1999-10,28.3,
2000-01,21.5,
2000-04,21.2,
2000-07,24.2,
2000-10,20.5,
2001-01,20.3,
2001-04,11.0,
2001-07,11.6,
2001-10,24.8,
2002-01,14.8,
2002-04,19.8,
2002-07,15.0,
2002-10,9.5,
2003-01,13.4,
2003-04,20.8,
2003-07,12.5,
2003-10,4.4,
2004-01,7.0,
2004-04,2.6,
2004-07,-3.2,
2004-10,2.8,
2005-01,9.8,
2005-04,13.1,
2005-07,16.7,
2005-10,11.1,
2006-01,8.2,
2006-04,10.3,
2006-07,7.8,
2006-10,-0.6,
2007-01,11.5,
2007-04,5.3,
2007-07,-1.2,
2007-10,5.3,
2008-01,-6.6,
2008-04,13.1,
2008-07,14.5,
2008-10,-11.7,
2009-01,11.3,
2009-04,6.6,
2009-07,16.0,
2009-10,20.7,
2010-01,25.8,
2010-04,17.2,
2010-07,26.5,
2010-10,20.8,
2011-01,15.2,
2011-04,9.8,
2011-07,15.0,
2011-10,9.6,
2012-01,20.1,
2012-04,27.7,
2012-07,19.5,
2012-10,27.4,
2013-01,35.5,
2013-04,19.4,
2013-07,21.7,
2013-10,20.6,
2014-01,24.1,
2014-04,21.5,
2014-07,34.2,
