"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.JP.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.JP.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Japan,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:48,
2009-09,462,
2009-10,450,
2009-11,449,
2009-12,441,
2010-01,459,
2010-02,476,
2010-03,456,
2010-04,456,
2010-05,505,
2010-06,526,
2010-07,503,
2010-08,531,
2010-09,501,
2010-10,508,
2010-11,512,
2010-12,523,
2011-01,501,
2011-02,499,
2011-03,479,
2011-04,456,
2011-05,474,
2011-06,472,
2011-07,496,
2011-08,498,
2011-09,520,
2011-10,501,
2011-11,513,
2011-12,531,
2012-01,529,
2012-02,493,
2012-03,464,
2012-04,477,
2012-05,515,
2012-06,510,
2012-07,527,
2012-08,516,
2012-09,505,
2012-10,491,
2012-11,479,
2012-12,433,
2013-01,382,
2013-02,391,
2013-03,378,
2013-04,356,
2013-05,348,
2013-06,354,
2013-07,352,
2013-08,352,
2013-09,310,
2013-10,305,
2013-11,296,
2013-12,284,
2014-01,295,
2014-02,293,
2014-03,287,
2014-04,285,
2014-05,291,
2014-06,423,
2014-07,426,
2014-08,432,
2014-09,426,
2014-10,423,
2014-11,306,
